Player,Position,Score,Marginal Value
Arian Foster - HOU,RB,164.22,68.44
Adrian Peterson - MIN,RB,161.48,65.70
Michael Vick - PHI,QB,272.31,52.45
Roddy White - ATL,WR,157.13,51.19
Calvin Johnson - DET,WR,156.66,50.73
Aaron Rodgers - GB,QB,270.56,50.70
Andre Johnson - HOU,WR,152.36,46.42
Ray Rice - BAL,RB,141.41,45.62
Jamaal Charles - KC,RB,140.59,44.81
Antonio Gates - SD,TE,128.53,44.08
Chris Johnson - TEN,RB,138.86,43.08
LeSean McCoy - PHI,RB,136.02,40.23
Michael Turner - ATL,RB,134.74,38.96
Maurice Jones-Drew - JAC,RB,134.14,38.35
Greg Jennings - GB,WR,142.55,36.61
Darren McFadden - OAK,RB,132.38,36.59
Hakeem Nicks - NYG,WR,139.51,33.58
Dallas Clark - IND,TE,117.39,32.94
Drew Brees - NO,QB,252.75,32.89
Jason Witten - DAL,TE,114.70,30.25
Vincent Jackson - SD,WR,135.20,29.26
Frank Gore - SF,RB,123.46,27.67
Rashard Mendenhall - PIT,RB,123.22,27.43
Matt Forte - CHI,RB,122.85,27.07
Larry Fitzgerald - ARI,WR,132.61,26.67
Mike Wallace - PIT,WR,131.66,25.73
Steven Jackson - STL,RB,120.25,24.46
Peyton Hillis - CLE,RB,119.73,23.95
Peyton Manning - IND,QB,241.30,21.45
Tom Brady - NE,QB,241.13,21.27
Reggie Wayne - IND,WR,126.50,20.57
LeGarrette Blount - TB,RB,115.63,19.84
Mike Williams - TB,WR,125.34,19.41
Miles Austin - DAL,WR,125.25,19.32
Philip Rivers - SD,QB,238.88,19.02
Ahmad Bradshaw - NYG,RB,113.55,17.76
Vernon Davis - SF,TE,101.62,17.17
Jermichael Finley - GB,TE,96.35,11.90
Cedric Benson - CIN,RB,106.85,11.07
Brandon Marshall - MIA,WR,115.78,9.85
Tony Romo - DAL,QB,229.60,9.74
Marques Colston - NO,WR,114.29,8.35
Shonn Greene - NYJ,RB,103.63,7.85
Knowshon Moreno - DEN,RB,103.39,7.60
Matt Ryan - ATL,QB,226.86,7.00
Dwayne Bowe - KC,WR,112.65,6.72
DeSean Jackson - PHI,WR,110.38,4.44
Kellen Winslow - TB,TE,88.52,4.06
Mario Manningham - NYG,WR,109.42,3.48
Owen Daniels - HOU,TE,87.01,2.56
Dez Bryant - DAL,WR,108.45,2.51
Ben Roethlisberger - PIT,QB,222.29,2.43
Jimmy Graham - NO,TE,86.84,2.39
Anquan Boldin - BAL,WR,107.94,2.00
Jeremy Maclin - PHI,WR,107.45,1.51
Tony Gonzalez - ATL,TE,85.59,1.14
Marcedes Lewis - JAC,TE,84.45,0.00
