Player,Position,Score,Marginal Value
Arian Foster - HOU,RB,318.60,153.67
Adrian Peterson - MIN,RB,297.53,132.60
Ray Rice - BAL,RB,291.30,126.37
Chris Johnson - TEN,RB,290.00,125.07
LeSean McCoy - PHI,RB,284.60,119.67
Andre Johnson - HOU,WR,304.70,117.93
Roddy White - ATL,WR,303.23,116.46
Maurice Jones-Drew - JAC,RB,279.86,114.93
Jamaal Charles - KC,RB,275.04,110.11
Calvin Johnson - DET,WR,290.17,103.40
Matt Forte - CHI,RB,264.86,99.93
Darren McFadden - OAK,RB,263.50,98.57
Larry Fitzgerald - ARI,WR,278.67,91.90
Jason Witten - DAL,TE,240.50,90.23
Michael Vick - PHI,QB,336.87,87.53
Frank Gore - SF,RB,252.17,87.24
Antonio Gates - SD,TE,237.33,87.06
Dallas Clark - IND,TE,236.73,86.46
Steven Jackson - STL,RB,250.93,86.00
Greg Jennings - GB,WR,272.73,85.96
Aaron Rodgers - GB,QB,328.87,79.53
Hakeem Nicks - NYG,WR,261.53,74.76
Reggie Wayne - IND,WR,261.50,74.73
Peyton Hillis - CLE,RB,239.00,74.07
Ahmad Bradshaw - NYG,RB,232.20,67.27
Brandon Marshall - MIA,WR,250.23,63.46
Rashard Mendenhall - PIT,RB,227.87,62.94
Michael Turner - ATL,RB,225.73,60.80
Miles Austin - DAL,WR,243.47,56.70
Vincent Jackson - SD,WR,243.33,56.56
Wes Welker - NE,WR,241.70,54.93
Mike Wallace - PIT,WR,239.13,52.36
Vernon Davis - SF,TE,197.43,47.16
Mike Williams - TB,WR,233.73,46.96
Jermichael Finley - GB,TE,197.07,46.80
Knowshon Moreno - DEN,RB,211.23,46.30
LeGarrette Blount - TB,RB,209.40,44.47
Cedric Benson - CIN,RB,208.87,43.94
Marques Colston - NO,WR,229.40,42.63
Jahvid Best - DET,RB,206.13,41.20
Drew Brees - NO,QB,288.84,39.50
Kellen Winslow - TB,TE,188.03,37.76
Tom Brady - NE,QB,284.34,35.00
Dez Bryant - DAL,WR,221.33,34.56
Felix Jones - DAL,RB,199.20,34.27
Reggie Bush - MIA,RB,199.10,34.17
Philip Rivers - SD,QB,283.48,34.14
Dwayne Bowe - KC,WR,219.50,32.73
Owen Daniels - HOU,TE,181.23,30.96
Shonn Greene - NYJ,RB,192.90,27.97
Zach Miller - SEA,TE,177.50,27.23
Anquan Boldin - BAL,WR,213.70,26.93
Fred Jackson - BUF,RB,189.30,24.37
Tim Hightower - WAS,RB,188.80,23.87
Mario Manningham - NYG,WR,209.97,23.20
Tony Romo - DAL,QB,272.38,23.04
Ryan Mathews - SD,RB,187.10,22.17
Jeremy Maclin - PHI,WR,208.93,22.16
Joseph Addai - IND,RB,186.90,21.97
Tony Gonzalez - ATL,TE,171.10,20.83
DeAngelo Williams - CAR,RB,185.50,20.57
Brandon Lloyd - DEN,WR,206.37,19.60
Ben Roethlisberger - PIT,QB,267.45,18.11
Santonio Holmes - NYJ,WR,204.13,17.36
Matt Ryan - ATL,QB,263.81,14.47
DeSean Jackson - PHI,WR,201.13,14.36
Steve Johnson - BUF,WR,200.20,13.43
Josh Freeman - TB,QB,261.66,12.32
Matt Schaub - HOU,QB,261.04,11.70
Kenny Britt - TEN,WR,196.90,10.13
Jimmy Graham - NO,TE,159.13,8.86
Brandon Pettigrew - DET,TE,158.07,7.80
Santana Moss - WAS,WR,193.20,6.43
BenJarvus Green-Ellis - NE,RB,170.90,5.97
Austin Collie - IND,WR,191.87,5.10
Pierre Thomas - NO,RB,169.33,4.40
Sidney Rice - SEA,WR,190.53,3.76
Matthew Stafford - DET,QB,251.98,2.64
Pierre Garcon - IND,WR,189.33,2.56
Danny Amendola - STL,WR,187.07,0.30
Chris Cooley - WAS,TE,150.27,0.00
Chad Ochocinco - NE,WR,186.77,0.00
Beanie Wells - ARI,RB,164.93,0.00
Peyton Manning - IND,QB,249.34,0.00
Marshawn Lynch - SEA,RB,164.83,-0.10
Marcedes Lewis - JAC,TE,149.77,-0.50
Ryan Grant - GB,RB,163.33,-1.60
Mark Ingram - NO,RB,162.90,-2.03
Rob Gronkowski - NE,TE,147.70,-2.57
Todd Heap - ARI,TE,146.77,-3.50
Mike Tolbert - SD,RB,159.67,-5.26
Percy Harvin - MIN,WR,180.67,-6.10
Eli Manning - NYG,QB,242.73,-6.61
Dustin Keller - NYJ,TE,143.53,-6.74
Greg Olsen - CAR,TE,141.40,-8.87
Brent Celek - PHI,TE,141.27,-9.00
Joe Flacco - BAL,QB,239.55,-9.79
Hines Ward - PIT,WR,176.20,-10.57
Darren Sproles - NO,RB,153.16,-11.77
Michael Bush - OAK,RB,151.17,-13.76
Aaron Hernandez - NE,TE,136.30,-13.97
Mike Thomas - JAC,WR,172.70,-14.07
Danny Woodhead - NE,RB,149.53,-15.40
Brandon Jacobs - NYG,RB,149.34,-15.59
Sam Bradford - STL,QB,232.92,-16.42
Davone Bess - MIA,WR,170.03,-16.74
Julio Jones - ATL,WR,169.33,-17.44
LaDainian Tomlinson - NYJ,RB,147.40,-17.53
Lance Moore - NO,WR,168.77,-18.00
Daniel Thomas - MIA,RB,144.77,-20.16
Jay Cutler - CHI,QB,227.93,-21.41
Heath Miller - PIT,TE,128.17,-22.10
Willis McGahee - DEN,RB,141.37,-23.56
Steve Smith - CAR,WR,163.13,-23.64
Jermaine Gresham - CIN,TE,126.57,-23.70
Lee Evans - BAL,WR,161.73,-25.04
Jonathan Stewart - CAR,RB,139.10,-25.83
Nate Burleson - DET,WR,160.07,-26.70
Plaxico Burress - NYJ,WR,159.77,-27.00
Braylon Edwards - SF,WR,159.57,-27.20
Kevin Kolb - ARI,QB,220.66,-28.68
