Quarterbacks 2011 Standard Stats -- Average
Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Aaron Rodgers - GB,531.5,348.3,4421.7,31.0,12.8,65.5,8.3,55.4,302.0,5.5,3.9,3.6,367.6
Michael Vick - PHI,462.8,285.4,3621.7,26.2,13.2,61.7,7.8,98.3,668.0,6.8,7.8,5.9,362.8
Drew Brees - NO,586.3,400.6,4591.0,33.7,16.4,68.3,7.8,21.6,26.0,1.2,0.1,3.6,338.8
Tom Brady - NE,558.4,366.5,4201.0,32.8,11.6,65.6,7.5,27.4,35.0,1.3,0.8,1.7,336.0
Philip Rivers - SD,508.0,331.7,4335.3,31.2,11.5,65.3,8.5,26.8,52.7,2.0,0.5,3.3,326.6
Tony Romo - DAL,547.8,359.7,4287.7,28.7,13.0,65.7,7.8,27.5,84.7,3.1,0.6,2.5,310.8
Matt Ryan - ATL,509.6,324.8,4061.0,28.7,14.2,63.7,8.0,34.9,77.7,2.2,1.2,2.2,305.6
Matt Schaub - HOU,560.6,362.0,4464.3,25.6,13.7,64.6,8.0,31.5,50.7,1.6,0.4,3.4,295.8
Peyton Manning - IND,490.9,323.3,3906.7,28.7,12.7,65.9,8.0,12.1,12.7,1.0,0.4,0.8,294.6
Ben Roethlisberger - PIT,505.1,321.1,4041.3,25.2,12.5,63.6,8.0,43.7,156.0,3.6,2.4,4.4,293.8
Matthew Stafford - DET,518.9,319.3,3866.3,27.0,15.4,61.5,7.5,19.8,93.3,4.7,1.8,3.1,285.8
Josh Freeman - TB,483.7,301.2,3779.7,22.9,12.0,62.3,7.8,61.1,320.7,5.2,1.8,3.5,285.2
Eli Manning - NYG,515.6,314.4,4008.3,28.8,19.7,61.0,7.8,25.0,60.0,2.4,0.1,4.5,280.0
Joe Flacco - BAL,502.6,319.6,3766.3,25.6,13.2,63.6,7.5,35.3,75.0,2.1,0.9,3.5,271.6
Sam Bradford - STL,571.7,355.3,4041.3,23.3,15.7,62.1,7.1,26.3,64.7,2.5,0.5,2.9,263.6
Jay Cutler - CHI,519.0,313.1,3623.3,22.0,18.0,60.3,7.0,50.4,226.0,4.5,1.4,4.8,247.8
Kevin Kolb - ARI,504.4,314.7,3764.0,22.5,16.4,62.4,7.5,25.4,93.0,3.7,0.6,4.5,243.8
Matt Cassel - KC,477.0,287.1,3298.3,21.1,14.0,60.2,6.9,36.3,130.3,3.6,0.9,2.9,230.2
Colt McCoy - CLE,444.5,280.3,3368.3,19.7,14.6,63.1,7.6,37.1,177.0,4.8,1.0,1.7,229.6
Mark Sanchez - NYJ,492.1,285.5,3393.0,20.6,15.6,58.0,6.9,34.7,122.7,3.5,1.8,3.4,229.4
Kyle Orton - DEN,464.2,281.4,3387.3,19.3,10.7,60.6,7.3,25.2,83.0,3.3,0.2,1.9,222.8
Chad Henne - MIA,508.5,307.1,3416.3,20.3,17.1,60.4,6.7,32.0,74.3,2.3,0.1,2.1,216.0
Ryan Fitzpatrick - BUF,497.0,293.5,3374.0,18.5,16.6,59.1,6.8,39.4,192.7,4.9,1.1,3.7,216.0
Jason Campbell - OAK,453.1,267.8,3244.7,17.2,12.5,59.1,7.2,47.6,236.3,5.0,1.1,4.1,214.6
Alex Smith - SF,450.6,267.6,3219.0,18.7,14.5,59.4,7.1,28.5,88.0,3.1,0.5,2.0,208.2
Cam Newton - CAR,428.2,242.7,2867.0,13.7,16.1,56.7,6.7,76.0,411.7,5.4,3.4,4.1,203.2
Matt Hasselbeck - TEN,422.4,257.0,3104.0,18.8,15.3,60.8,7.3,23.4,91.0,3.9,1.4,3.6,202.4
Rex Grossman - WAS,488.7,281.9,3411.7,18.1,16.0,57.7,7.0,14.0,32.7,2.3,0.4,4.2,200.6
Donovan McNabb - MIN,452.5,270.7,3198.3,16.7,12.9,59.8,7.1,33.9,123.0,3.6,0.5,3.7,194.0
Tarvaris Jackson - SEA,391.8,230.7,2864.7,16.0,17.7,58.9,7.3,32.2,147.7,4.6,0.8,2.0,176.4
Andy Dalton - CIN,442.3,262.1,2969.7,15.5,15.7,59.3,6.7,21.1,85.3,4.0,1.2,3.8,176.2
