Running Backs 2011 Standard Stats -- Average
Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Arian Foster - HOU,284.1,1343.7,4.7,11.6,55.8,450.3,8.1,2.3,2.1,242.2
Adrian Peterson - MIN,317.5,1448.0,4.6,12.0,38.1,366.3,9.6,1.0,3.0,237.0
Chris Johnson - TEN,297.1,1373.0,4.6,10.7,44.8,329.0,7.3,1.8,2.5,224.0
Ray Rice - BAL,260.9,1212.7,4.6,7.3,60.2,546.3,9.1,1.9,2.6,210.0
Jamaal Charles - KC,252.1,1287.7,5.1,7.2,44.7,415.7,9.3,2.8,2.6,208.8
Maurice Jones-Drew - JAC,287.3,1275.3,4.4,8.6,49.9,382.3,7.7,2.1,3.1,207.0
Michael Turner - ATL,299.4,1342.3,4.5,12.8,8.3,58.0,7.0,0.1,1.9,201.6
LeSean McCoy - PHI,226.0,1113.7,4.9,6.8,66.9,481.3,7.2,2.9,1.9,198.4
Darren McFadden - OAK,240.7,1190.3,4.9,6.8,47.3,407.7,8.6,2.6,3.3,193.8
Steven Jackson - STL,284.6,1208.0,4.2,5.9,44.9,396.3,8.8,1.7,2.0,185.6
Frank Gore - SF,247.7,1088.7,4.4,6.5,48.7,424.0,8.7,2.2,2.2,182.8
Rashard Mendenhall - PIT,290.6,1230.7,4.2,9.7,23.5,189.0,8.0,0.7,2.3,182.8
Matt Forte - CHI,238.9,1025.3,4.3,5.4,61.7,538.3,8.7,2.4,2.6,182.6
LeGarrette Blount - TB,289.2,1305.7,4.5,9.7,11.8,76.3,6.5,0.2,3.5,178.4
Ahmad Bradshaw - NYG,239.8,1134.3,4.7,6.5,39.6,323.7,8.2,1.3,3.5,169.8
Peyton Hillis - CLE,220.8,956.0,4.3,8.1,48.5,349.0,7.2,1.9,3.2,167.6
Cedric Benson - CIN,292.7,1188.7,4.1,6.7,25.4,184.0,7.2,1.0,3.1,162.0
Shonn Greene - NYJ,276.9,1190.3,4.3,7.9,13.9,107.7,7.7,0.3,2.4,159.4
Knowshon Moreno - DEN,227.5,965.3,4.2,4.8,39.5,326.0,8.3,2.3,2.8,151.0
BenJarvus Green-Ellis - NE,214.1,978.0,4.6,8.7,11.8,79.0,6.7,0.2,1.0,145.4
DeAngelo Williams - CAR,209.0,992.3,4.7,6.0,25.9,177.7,6.9,1.1,2.3,141.0
Felix Jones - DAL,196.7,902.7,4.6,4.7,37.1,316.3,8.5,2.0,2.3,140.6
Tim Hightower - WAS,193.2,845.7,4.4,7.2,31.9,225.3,7.1,1.1,2.5,135.8
Jahvid Best - DET,191.8,767.3,4.0,4.2,51.3,403.0,7.9,2.1,2.0,134.8
Ryan Mathews - SD,205.8,893.0,4.3,6.0,30.8,208.0,6.8,1.7,3.3,134.6
Fred Jackson - BUF,217.4,893.7,4.1,4.7,35.6,265.3,7.5,1.6,1.9,133.0
Joseph Addai - IND,192.5,795.3,4.1,5.6,39.0,251.7,6.5,1.6,1.4,128.4
Mark Ingram - NO,183.5,820.3,4.5,7.6,18.2,134.7,7.4,0.6,1.1,128.0
Beanie Wells - ARI,220.2,900.3,4.1,5.8,17.9,186.0,10.4,0.6,2.0,127.4
Reggie Bush - MIA,168.9,712.3,4.2,4.0,51.5,361.7,7.0,2.7,2.3,126.6
Ryan Grant - GB,213.3,892.3,4.2,5.9,20.3,160.0,7.9,0.4,2.3,123.2
Brandon Jacobs - NYG,167.4,828.7,5.0,7.5,12.0,88.7,7.4,0.1,1.2,122.2
Mike Tolbert - SD,168.3,752.0,4.5,6.9,20.7,145.7,7.0,1.3,2.2,119.8
Marshawn Lynch - SEA,213.9,853.0,4.0,6.0,25.3,158.3,6.3,0.4,2.0,119.4
Michael Bush - OAK,167.4,755.0,4.5,6.4,18.9,147.7,7.8,0.6,1.5,114.0
Daniel Thomas - MIA,182.4,796.0,4.4,5.5,17.6,115.7,6.6,0.5,1.9,108.2
Pierre Thomas - NO,154.5,621.3,4.0,4.5,41.1,301.0,7.3,1.5,1.4,107.2
Willis McGahee - DEN,150.0,656.7,4.4,6.8,19.4,107.0,5.5,0.8,0.8,107.0
Jonathan Stewart - CAR,169.2,764.7,4.5,5.8,15.5,111.3,7.2,0.2,2.0,104.0
Danny Woodhead - NE,106.7,525.3,4.9,3.6,35.1,289.0,8.2,1.9,0.5,97.0
LaDainian Tomlinson - NYJ,131.7,575.3,4.4,4.2,33.7,243.7,7.2,1.1,1.2,95.4
James Starks - GB,162.3,634.3,3.9,4.9,20.6,140.0,6.8,0.5,1.3,90.8
Darren Sproles - NO,68.6,325.3,4.7,1.5,52.4,442.3,8.4,2.5,1.7,81.6
Thomas Jones - KC,152.6,590.3,3.9,4.4,12.7,79.3,6.2,0.1,0.8,78.4
Tashard Choice - DAL,112.3,488.7,4.4,4.2,19.6,147.0,7.5,0.9,0.6,77.4
Ricky Williams - BAL,111.0,467.7,4.2,4.5,17.1,118.7,6.9,1.3,0.8,77.2
Jason Snelling - ATL,101.4,452.7,4.5,3.3,29.2,209.7,7.2,1.1,0.7,76.0
C.J. Spiller - BUF,117.1,488.3,4.2,2.3,35.8,251.3,7.0,1.8,3.4,75.8
Maurice Morris - DET,97.8,418.0,4.3,2.7,23.5,187.7,8.0,1.1,1.1,65.6
Ryan Torain - WAS,110.0,473.3,4.3,3.2,13.1,106.7,8.1,0.5,1.2,62.8
Marion Barber - CHI,99.2,408.0,4.1,3.8,17.1,119.0,7.0,0.5,1.0,61.8
Isaac Redman - PIT,95.5,425.0,4.5,4.0,10.8,90.0,8.3,0.3,1.0,61.8
DeMarco Murray - DAL,101.1,463.3,4.6,3.7,14.3,110.7,7.7,0.1,1.1,61.6
Ronnie Brown - PHI,97.6,412.0,4.2,3.2,20.6,158.7,7.7,0.7,1.0,61.4
Ben Tate - HOU,92.8,396.7,4.3,3.8,11.0,80.0,7.3,0.7,0.5,61.0
Cadillac Williams - STL,77.1,310.7,4.0,1.8,31.1,265.0,8.5,1.6,0.6,60.2
LaRod Stephens-Howling - ARI,73.0,324.3,4.4,1.6,29.7,236.3,8.0,1.7,0.7,58.4
Montario Hardesty - CLE,98.9,410.3,4.1,3.9,7.3,53.3,7.3,0.1,0.9,57.2
Justin Forsett - SEA,79.5,356.0,4.5,1.6,24.9,205.3,8.2,1.5,0.8,57.0
Stevan Ridley - NE,85.5,362.7,4.2,4.3,6.8,52.0,7.6,0.1,0.6,55.2
Javon Ringer - TEN,85.8,372.0,4.3,3.2,9.9,78.0,7.9,0.5,0.2,54.8
Kendall Hunter - SF,69.2,334.7,4.8,2.0,23.2,177.0,7.6,1.3,0.6,54.6
Roy Helu - WAS,81.2,362.3,4.5,2.8,11.8,82.3,7.0,0.8,0.8,52.0
Delone Carter - IND,69.4,305.3,4.4,3.7,9.3,75.7,8.1,0.6,0.6,50.6
Deji Karim - JAC,75.0,344.0,4.6,2.3,17.0,119.0,7.0,0.7,0.0,50.0
Jerome Harrison - DET,86.3,368.0,4.3,2.6,9.3,53.7,5.8,0.4,0.3,49.4
Toby Gerhart - MIN,84.7,355.3,4.2,2.1,17.6,144.3,8.2,0.6,1.3,48.6
Donald Brown - IND,90.1,351.0,3.9,1.2,17.4,131.3,7.5,0.7,1.1,42.2
Bernard Scott - CIN,66.1,316.3,4.8,1.5,14.5,110.3,7.6,1.1,1.1,40.4
Mike Goodson - CAR,62.4,284.7,4.6,1.1,24.9,192.7,7.7,0.7,2.2,38.4
Jacquizz Rodgers - ATL,58.5,270.7,4.6,0.6,26.0,201.0,7.7,0.8,0.1,38.2
Chester Taylor - ARI,62.4,226.0,3.6,2.4,14.8,113.7,7.7,0.5,0.2,37.0
Derrick Ward - HOU,55.2,231.7,4.2,2.6,5.9,49.3,8.4,0.7,0.4,36.0
Anthony Dixon - SF,63.3,268.3,4.2,2.3,3.7,26.0,7.0,0.0,0.7,31.4
Jamie Harper - TEN,56.3,238.0,4.2,1.6,11.1,83.0,7.5,0.5,0.1,31.4
Earnest Graham - TB,56.5,226.7,4.0,1.3,17.6,117.3,6.7,0.7,0.6,30.8
Joe McKnight - NYJ,55.8,245.3,4.4,1.2,9.9,73.3,7.4,0.8,0.8,30.4
Taiwan Jones - OAK,39.3,197.7,5.0,1.7,12.3,90.7,7.4,0.7,0.3,29.8
Leon Washington - SEA,53.6,237.3,4.4,0.6,21.0,149.3,7.1,1.0,1.3,29.0
Shane Vereen - NE,61.2,258.0,4.2,0.5,12.0,90.0,7.5,0.4,0.2,27.0
John Kuhn - GB,30.1,131.7,4.4,1.1,12.0,91.0,7.6,1.7,0.1,26.6
Le'Ron McClain - KC,49.1,198.3,4.0,1.5,12.9,89.0,6.9,0.2,0.8,24.6
Marcel Reece - OAK,19.1,79.7,4.2,0.4,17.4,173.7,10.0,1.1,0.1,20.8
Armond Smith - CLE,33.3,164.7,4.9,0.7,15.3,112.7,7.4,0.3,0.0,20.0
Jordan Todman - SD,49.9,204.7,4.1,0.2,13.2,86.7,6.6,0.4,0.1,19.4
Alex Green - GB,36.3,172.3,4.7,0.3,6.7,51.7,7.7,0.7,0.1,16.8
Lance Ball - DEN,42.9,188.3,4.4,0.9,5.9,37.0,6.3,0.1,0.8,16.4
Mewelde Moore - PIT,39.5,151.3,3.8,0.0,17.8,141.7,8.0,0.4,0.4,14.6
Bilal Powell - NYJ,26.1,113.3,4.3,1.0,2.5,22.0,8.8,0.1,0.1,12.4
Dion Lewis - PHI,29.1,152.3,5.2,0.4,5.4,43.7,8.1,0.4,0.2,12.4
Keiland Williams - DET,27.7,123.7,4.5,0.3,10.0,79.3,7.9,0.3,0.0,11.6
Ovie Mughelli - ATL,9.6,23.3,2.4,0.0,10.3,96.3,9.3,1.1,0.0,11.6
Allen Bradford - TB,19.5,85.0,4.4,0.6,8.9,68.0,7.6,0.2,0.1,11.6
Chris Ivory - NO,25.0,116.0,4.6,1.3,1.3,8.3,6.4,0.0,0.7,11.4
Steve Slaton - HOU,32.4,132.3,4.1,0.4,8.9,73.0,8.2,0.0,0.2,11.0
Kregg Lumpkin - TB,32.1,137.0,4.3,0.4,7.5,58.0,7.7,0.1,0.0,11.0
Anthony Allen - BAL,26.4,120.0,4.5,0.6,2.8,23.3,8.3,0.1,0.1,10.0
Vonta Leach - BAL,7.3,32.0,4.4,0.3,13.0,108.7,8.4,0.5,0.0,9.8
Jerious Norwood - STL,26.6,108.0,4.1,0.4,9.6,73.7,7.7,0.1,0.4,9.2
Johnny White - BUF,19.3,87.7,4.5,0.7,3.7,22.3,6.0,0.0,0.0,9.2
Alfonso Smith - ARI,20.3,103.7,5.1,0.7,4.7,30.0,6.4,0.0,0.3,8.6
Jacob Hester - SD,21.5,59.0,2.7,0.1,15.8,100.0,6.3,0.6,0.8,8.6
Ahmard Hall - TEN,2.1,7.7,3.7,0.0,12.5,99.0,7.9,0.9,0.4,8.6
Brian Leonard - CIN,11.0,52.7,4.8,0.1,15.8,114.3,7.2,0.2,0.1,8.6
Correll Buckhalter - DEN,12.5,41.7,3.3,0.3,8.8,72.3,8.2,0.4,0.2,7.8
Lex Hilliard - MIA,10.9,49.0,4.5,0.4,5.0,39.0,7.8,0.4,0.0,7.8
Owen Schmitt - PHI,4.7,18.0,3.8,0.0,9.7,70.0,7.2,0.6,0.0,7.6
Danny Ware - NYG,14.7,79.7,5.4,0.4,5.3,46.3,8.7,0.2,0.1,7.4
Lawrence Vickers - HOU,6.7,26.3,3.9,0.3,5.1,28.7,5.6,0.4,0.0,6.2
Kahlil Bell - CHI,16.3,86.0,5.3,0.1,3.0,16.3,5.4,0.1,0.1,6.0
Owen Marecic - CLE,8.8,36.0,4.1,0.1,9.3,69.3,7.5,0.1,0.0,5.2
Javarris James - IND,10.2,43.3,4.2,0.6,0.8,5.7,7.1,0.0,0.1,4.4
Michael Robinson - SEA,9.6,38.7,4.0,0.1,7.8,57.3,7.3,0.1,0.1,4.0
Heath Evans - NO,0.9,2.0,2.2,0.0,3.5,32.3,9.2,0.5,0.0,4.0
Mike Sellers - WAS,0.7,0.3,0.4,0.0,6.4,64.0,10.0,0.2,0.1,4.0
Montell Owens - JAC,12.7,55.3,4.4,0.3,0.3,2.0,6.7,0.0,0.0,3.8
Jerome Felton - CAR,14.7,53.7,3.7,0.0,2.7,20.7,7.7,0.1,0.1,3.4
Greg Jones - JAC,2.5,10.3,4.1,0.0,10.3,57.0,5.5,0.2,0.0,3.2
Rock Cartwright - OAK,14.7,54.0,3.7,0.0,5.0,40.7,8.1,0.0,0.0,3.0
John Conner - NYJ,5.0,21.3,4.3,0.3,1.0,4.7,4.7,0.0,0.0,2.8
Jonathan Dwyer - PIT,7.7,32.0,4.2,0.3,0.0,0.0,0.0,0.0,0.0,2.8
Kenneth Darby - STL,6.1,25.3,4.1,0.0,2.7,19.3,7.1,0.1,0.0,2.6
Evan Royster - WAS,6.3,25.7,4.1,0.2,0.9,8.7,9.7,0.1,0.1,2.6
Da'Rel Scott - NYG,2.1,9.0,4.3,0.1,2.9,26.0,9.0,0.1,0.0,2.2
Kevin Faulk - NE,4.3,18.7,4.3,0.0,3.7,25.3,6.8,0.0,0.0,2.0
Anthony Sherman - ARI,9.3,37.7,4.1,0.0,3.7,25.7,6.9,0.0,0.0,2.0
Quinton Ganther - BUF,6.9,21.3,3.1,0.2,0.4,3.0,7.5,0.0,0.1,2.0
Tim Castille - KC,2.1,4.7,2.2,0.0,5.1,29.0,5.7,0.2,0.1,2.0
Spencer Larsen - DEN,2.9,12.7,4.4,0.0,4.0,38.0,9.5,0.1,0.0,1.6
Baron Batch - PIT,5.5,18.0,3.3,0.1,0.4,3.3,8.2,0.0,0.0,1.6
Quinn Johnson - TEN,1.3,4.3,3.3,0.0,3.3,21.0,6.4,0.1,0.0,1.6
Lorenzo Booker - MIN,6.3,19.7,3.1,0.0,3.0,16.0,5.3,0.0,0.2,1.6
Corey McIntyre - BUF,3.1,13.0,4.2,0.0,3.6,29.0,8.1,0.1,0.1,1.4
Jalen Parmele - BAL,8.0,30.0,3.8,0.0,0.7,5.0,7.1,0.0,0.0,1.0
Shaun Chapas - DAL,2.7,10.3,3.8,0.0,2.7,18.3,6.8,0.0,0.0,1.0
Gartrell Johnson - ATL,8.0,30.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jackie Battle - KC,8.3,38.3,4.6,0.0,1.0,5.3,5.3,0.0,0.0,1.0
Matt Lawrence - BAL,4.3,17.3,4.0,0.0,1.0,6.3,6.3,0.0,0.0,1.0
Moran Norris - SF,3.1,6.7,2.2,0.0,3.1,15.7,5.1,0.1,0.0,0.6
Tony Richardson - NYJ,0.8,3.0,3.8,0.0,1.7,11.0,6.5,0.1,0.0,0.6
Chris Gronkowski - IND,1.7,6.3,3.7,0.0,1.0,7.0,7.0,0.0,0.0,0.0
Korey Hall - NO,0.7,2.3,3.3,0.0,1.3,5.3,4.1,0.0,0.0,0.0
Tony Fiammetta - DAL,1.7,7.3,4.3,0.0,0.7,3.7,5.3,0.0,0.0,0.0
Naufahu Tahi - MIN,0.0,0.0,0.0,0.0,0.6,4.3,7.2,0.0,0.0,0.0
Reagan Maui'a - ARI,0.0,0.0,0.0,0.0,0.7,3.7,5.3,0.0,0.0,0.0
Henry Hynoski - NYG,1.7,6.0,3.5,0.0,2.0,10.0,5.0,0.0,0.0,0.0
