Tight Ends 2011 Standard Stats -- Average
Player,Recpt,Yd,Avg,TD,FL,FPTS
Antonio Gates - SD,74.6,1027.3,13.8,10.0,0.2,154.6
Jason Witten - DAL,91.1,1020.0,11.2,7.9,0.3,140.8
Dallas Clark - IND,88.4,1003.3,11.3,8.0,0.3,139.4
Vernon Davis - SF,67.3,863.3,12.8,7.3,0.2,121.4
Jermichael Finley - GB,70.3,883.7,12.6,6.4,0.3,118.8
Owen Daniels - HOU,67.6,806.3,11.9,5.5,0.2,105.6
Kellen Winslow - TB,73.1,795.3,10.9,5.9,0.6,105.2
Jimmy Graham - NO,50.4,643.3,12.8,7.4,0.3,100.8
Zach Miller - SEA,69.4,817.0,11.8,4.4,0.6,100.2
Tony Gonzalez - ATL,62.4,685.0,11.0,6.7,0.2,99.8
Rob Gronkowski - NE,45.4,597.0,13.1,7.1,0.2,94.2
Brandon Pettigrew - DET,59.5,667.7,11.2,5.3,0.2,90.4
Aaron Hernandez - NE,43.5,574.0,13.2,5.9,0.5,85.0
Marcedes Lewis - JAC,55.2,627.7,11.4,5.3,1.0,84.8
Brent Celek - PHI,48.8,624.7,12.8,5.0,0.1,84.8
Todd Heap - ARI,53.5,650.7,12.2,4.7,0.3,84.6
Dustin Keller - NYJ,51.0,619.3,12.1,5.1,0.2,83.2
Greg Olsen - CAR,50.5,579.0,11.5,5.5,0.2,82.6
Chris Cooley - WAS,60.2,690.7,11.5,3.5,0.4,82.2
Jermaine Gresham - CIN,49.8,545.7,11.0,3.7,0.4,68.4
Heath Miller - PIT,51.4,563.7,11.0,3.4,0.6,68.2
Jared Cook - TEN,41.1,481.3,11.7,4.0,0.1,64.8
Benjamin Watson - CLE,44.9,523.7,11.7,3.4,0.2,64.0
Visanthe Shiancoe - MIN,43.5,490.7,11.3,3.3,0.4,60.0
Kevin Boss - OAK,36.2,475.0,13.1,3.5,0.1,59.8
Evan Moore - CLE,33.0,450.3,13.6,3.8,0.3,59.2
Anthony Fasano - MIA,37.9,444.3,11.7,3.7,0.8,56.6
Travis Beckum - NYG,34.6,388.7,11.2,4.2,0.2,55.8
Ed Dickson - BAL,30.4,390.3,12.8,3.7,0.1,53.0
Lance Kendricks - STL,29.7,366.7,12.3,3.8,0.0,50.8
Fred Davis - WAS,29.5,351.3,11.9,2.9,0.1,44.2
Jeremy Shockey - CAR,29.2,349.7,12.0,3.0,0.7,43.6
Tony Scheffler - DET,34.6,380.3,11.0,1.9,0.8,39.8
Joel Dreessen - HOU,25.8,322.0,12.5,1.7,0.1,35.0
Michael Hoomanawanui - STL,24.6,268.0,10.9,1.9,0.1,29.2
Daniel Fells - DEN,24.2,255.3,10.5,1.9,0.1,28.2
Rob Housler - ARI,22.0,270.7,12.3,1.5,0.4,26.2
David Thomas - NO,24.1,235.0,9.8,1.6,0.1,24.4
Zach Miller - JAC,22.2,227.0,10.2,1.5,0.1,23.8
Dennis Pitta - BAL,20.4,211.3,10.4,1.4,0.1,22.2
Kyle Rudolph - MIN,16.5,191.0,11.6,1.8,0.0,21.8
Jacob Tamme - IND,18.0,198.7,11.0,1.4,0.0,20.4
Kellen Davis - CHI,16.0,165.7,10.4,1.9,0.1,20.2
Julius Thomas - DEN,16.9,213.3,12.6,1.0,0.0,20.0
Leonard Pope - KC,18.8,163.0,8.7,1.4,0.1,17.2
Martellus Bennett - DAL,18.7,189.0,10.1,1.0,0.1,16.8
Randy McMichael - SD,15.0,163.3,10.9,1.3,0.0,16.8
Andrew Quarless - GB,16.6,187.7,11.3,0.8,0.1,15.6
Scott Chandler - BUF,17.4,172.0,9.9,0.9,0.1,14.2
Delanie Walker - SF,14.9,175.3,11.8,0.7,0.4,12.4
Craig Stevens - TEN,10.3,99.7,9.7,1.2,0.1,11.0
Matt Spaeth - CHI,11.4,108.7,9.5,1.1,0.1,10.4
David Martin - BUF,9.2,112.3,12.2,0.7,0.0,9.2
Jeff King - ARI,13.2,107.0,8.1,0.8,0.0,8.8
Luke Stocker - TB,11.7,148.3,12.7,0.3,0.0,8.8
Jordan Cameron - CLE,9.0,124.0,13.8,0.4,0.0,7.4
Clay Harbor - PHI,6.9,56.7,8.2,0.8,0.0,6.8
Reggie Kelly - ATL,5.6,54.3,9.7,0.7,0.0,6.2
Daniel Graham - TEN,9.3,109.3,11.8,0.3,0.0,5.8
D.J. Williams - GB,7.0,93.0,13.3,0.3,0.0,5.8
Anthony McCoy - SEA,7.3,81.7,11.2,0.3,0.0,5.8
Jimmy Kleinsasser - MIN,10.3,92.0,8.9,0.3,0.1,5.6
Brandon Myers - OAK,7.5,65.0,8.7,0.4,0.0,5.4
Michael Palmer - ATL,4.0,32.7,8.2,0.7,0.0,5.2
Charles Clay - MIA,4.7,37.3,7.9,0.1,0.1,4.8
Jim Dray - ARI,5.0,70.7,14.1,0.3,0.0,4.8
Billy Bajema - STL,4.3,49.7,11.6,0.3,0.0,3.8
Will Heller - DET,6.0,60.7,10.1,0.3,0.0,3.8
Richard Gordon - OAK,6.2,74.0,11.9,0.0,0.0,3.0
Jeron Mastrud - MIA,2.7,19.7,7.3,0.3,0.0,2.8
Kory Sperry - SD,2.3,29.7,12.9,0.3,0.0,2.8
Bear Pascoe - NYG,4.8,51.0,10.6,0.1,0.0,2.6
Justin Peelle - ATL,1.6,19.3,12.1,0.2,0.0,2.2
James Casey - HOU,4.7,54.0,11.5,0.0,0.0,2.0
Logan Paulsen - WAS,1.3,6.7,5.2,0.3,0.0,1.8
Virgil Green - DEN,3.5,39.0,11.1,0.1,0.0,1.6
Ben Hartsock - CAR,2.7,29.0,10.7,0.0,0.0,1.0
Jake O'Connell - KC,2.0,19.7,9.8,0.0,0.0,1.0
Will Yeatman - MIA,2.0,24.7,12.3,0.0,0.0,1.0
Tom Crabtree - GB,1.3,20.3,15.6,0.0,0.0,1.0
Anthony Becht - KC,2.3,27.0,11.7,0.0,0.0,1.0
Dominique Byrd - SEA,3.7,38.0,10.3,0.0,0.0,1.0
Alge Crumpler - NE,0.8,8.7,10.9,0.1,0.0,0.6
Martin Rucker - DAL,0.3,2.0,6.7,0.0,0.0,0.0
Mickey Shuler - CIN,1.7,12.0,7.1,0.0,0.0,0.0
David Johnson - PIT,1.5,12.3,8.2,0.0,0.0,0.0
Gary Barnidge - CAR,1.3,14.7,11.3,0.0,0.0,0.0
Brody Eldridge - IND,1.7,13.0,7.6,0.0,0.0,0.0
Lee Smith - BUF,2.0,14.0,7.0,0.0,0.0,0.0
Cameron Morrah - SEA,0.2,2.3,11.5,0.0,0.0,0.0
Stephen Spach - STL,1.0,8.3,8.3,0.0,0.0,0.0
John Phillips - DAL,1.3,10.3,7.9,0.0,0.0,0.0
John Gilmore - NO,0.5,5.3,10.6,0.0,0.0,0.0
Zach Potter - JAC,1.3,9.3,7.2,0.0,0.0,0.0

