Wide Receivers 2011 Standard Stats -- Average
Player,Recpt,Yd,Avg,TD,FL,FPTS
Calvin Johnson - DET,83.1,1368.7,16.5,11.7,0.7,198.8
Roddy White - ATL,97.8,1430.3,14.6,10.4,1.0,195.4
Andre Johnson - HOU,104.2,1453.0,13.9,9.2,0.3,191.6
Greg Jennings - GB,84.0,1353.3,16.1,8.9,0.4,179.6
Hakeem Nicks - NYG,80.6,1221.3,15.2,9.8,0.3,172.2
Larry Fitzgerald - ARI,98.4,1322.7,13.4,8.0,0.6,170.8
Vincent Jackson - SD,69.3,1170.3,16.9,9.5,0.2,167.6
Mike Wallace - PIT,67.5,1176.3,17.4,9.0,0.5,165.8
Miles Austin - DAL,77.9,1187.7,15.2,7.8,0.6,159.4
Reggie Wayne - IND,95.0,1227.0,12.9,7.3,0.3,157.2
Mike Williams - TB,70.3,1118.3,15.9,8.6,1.2,152.2
Brandon Marshall - MIA,92.0,1162.3,12.6,7.0,1.0,148.0
DeSean Jackson - PHI,55.7,1034.3,18.6,7.0,1.5,145.0
Marques Colston - NO,77.2,1078.0,14.0,7.4,0.6,143.2
Dwayne Bowe - KC,68.8,1069.0,15.5,7.3,0.2,141.4
Dez Bryant - DAL,72.4,1009.3,13.9,8.0,1.4,139.2
Wes Welker - NE,95.6,1113.0,11.6,5.8,0.3,137.2
Mario Manningham - NYG,66.1,1000.7,15.1,7.3,0.9,134.0
Jeremy Maclin - PHI,67.9,1002.3,14.8,6.8,0.9,131.0
Anquan Boldin - BAL,72.9,988.0,13.6,7.0,1.3,130.4
Santonio Holmes - NYJ,65.0,1025.3,15.8,6.1,1.2,130.2
Brandon Lloyd - DEN,67.5,1058.7,15.7,5.5,0.5,130.0
Steve Johnson - BUF,67.0,936.0,14.0,6.6,0.9,122.8
Kenny Britt - TEN,65.8,981.0,14.9,5.5,0.6,122.8
Sidney Rice - SEA,61.9,962.3,15.5,5.4,0.8,119.8
Austin Collie - IND,65.4,820.7,12.5,7.4,0.2,119.0
Pierre Garcon - IND,64.0,869.3,13.6,6.4,0.8,115.8
Percy Harvin - MIN,66.1,851.7,12.9,4.9,1.0,115.6
Chad Ochocinco - NE,62.6,839.7,13.4,6.7,0.6,115.0
Santana Moss - WAS,72.2,928.0,12.9,4.7,1.1,111.0
Julio Jones - ATL,53.5,768.3,14.4,6.5,0.8,107.4
Lance Moore - NO,56.4,727.7,12.9,6.6,0.3,104.0
Hines Ward - PIT,62.9,797.0,12.7,5.6,0.5,103.6
Lee Evans - BAL,50.9,748.3,14.7,6.0,0.7,100.6
Nate Burleson - DET,52.2,742.7,14.2,5.6,0.8,99.6
Plaxico Burress - NYJ,50.0,749.7,15.0,5.8,0.8,99.2
Braylon Edwards - SF,52.1,792.7,15.2,4.7,0.2,98.8
Mike Thomas - JAC,67.2,791.0,11.8,4.4,1.4,98.2
Malcom Floyd - SD,43.8,758.7,17.3,5.0,0.2,97.6
Steve Smith - CAR,56.2,793.3,14.1,4.6,1.1,97.4
Danny Amendola - STL,80.5,825.7,10.3,4.0,1.2,96.6
Deion Branch - NE,53.9,742.3,13.8,4.7,0.1,94.0
A.J. Green - CIN,49.7,720.7,14.5,4.8,0.8,93.2
Davone Bess - MIA,65.4,794.3,12.1,4.2,1.9,92.4
Robert Meachem - NO,48.7,694.3,14.3,5.0,0.5,92.0
Mike Williams - SEA,59.7,739.3,12.4,4.0,0.2,89.6
Jacoby Ford - OAK,44.2,717.0,16.2,3.7,1.8,89.2
Michael Crabtree - SF,50.9,700.0,13.8,4.6,0.5,88.6
Mike Sims-Walker - STL,43.6,641.7,14.7,5.5,0.9,88.2
Roy Williams - CHI,45.0,671.0,14.9,5.0,0.9,87.2
Jordy Nelson - GB,46.4,695.7,15.0,4.1,0.8,85.0
Johnny Knox - CHI,41.8,685.3,16.4,4.4,1.5,83.4
Donald Driver - GB,52.3,639.7,12.2,4.6,0.3,82.0
Jerome Simpson - CIN,50.8,701.7,13.8,3.4,1.1,80.2
Brandon Gibson - STL,51.9,676.3,13.0,3.4,0.2,80.0
Jacoby Jones - HOU,49.6,646.3,13.0,3.8,0.5,79.8
Steve Breaston - KC,46.7,662.0,14.2,2.9,0.1,77.8
Antonio Brown - PIT,40.7,590.7,14.5,4.8,0.5,77.8
James Jones - GB,39.5,562.7,14.2,4.8,0.6,76.6
Nate Washington - TEN,45.9,632.3,13.8,3.7,0.5,76.2
Derrick Mason - NYJ,45.3,589.3,13.0,4.5,0.4,76.2
Kevin Walter - HOU,49.0,608.3,12.4,3.5,0.5,73.0
Devin Hester - CHI,42.6,596.3,14.0,3.6,0.9,72.8
Greg Little - CLE,39.5,524.7,13.3,4.5,0.5,72.2
Jordan Shipley - CIN,51.1,605.3,11.8,2.7,0.1,68.0
Earl Bennett - CHI,45.5,547.0,12.0,3.1,0.2,65.2
Arrelious Benn - TB,37.2,545.3,14.7,2.9,0.2,65.0
Brian Robiskie - CLE,39.6,490.3,12.4,3.8,0.1,63.6
Jabar Gaffney - WAS,39.3,551.7,14.0,2.3,0.1,60.6
Denarius Moore - OAK,31.7,473.3,14.9,3.1,0.1,60.2
Eddie Royal - DEN,47.9,542.3,11.3,2.6,1.5,59.6
Anthony Armstrong - WAS,32.8,552.0,16.8,2.4,1.2,59.0
Jason Hill - JAC,33.0,491.7,14.9,3.0,0.1,58.8
Brian Hartline - MIA,36.2,525.3,14.5,2.0,0.1,58.0
Patrick Crayton - SD,35.4,517.7,14.6,2.5,0.8,57.4
Andre Roberts - ARI,28.7,419.0,14.6,3.7,0.0,56.2
Steve Smith - PHI,34.8,468.0,13.4,2.8,0.1,55.6
Bernard Berrian - MIN,38.3,465.7,12.2,2.6,0.2,54.2
Early Doucet - ARI,40.2,502.3,12.5,1.9,0.1,54.2
Emmanuel Sanders - PIT,31.6,445.0,14.1,3.2,0.5,54.2
Josh Morgan - SF,34.5,453.7,13.2,2.5,0.5,52.0
Devery Henderson - NO,32.4,487.3,15.0,1.9,0.5,51.4
Jason Avant - PHI,37.9,465.3,12.3,2.0,0.1,50.8
Mohamed Massaquoi - CLE,31.2,480.3,15.4,2.0,1.2,50.6
Brandon LaFell - CAR,34.1,456.7,13.4,2.1,0.4,49.8
Louis Murphy - OAK,34.4,479.0,13.9,1.6,0.2,48.2
Roscoe Parrish - BUF,33.9,441.7,13.0,2.3,1.7,47.4
Eric Decker - DEN,28.8,404.3,14.0,2.3,0.5,45.8
Dexter McCluster - KC,29.0,327.0,11.3,1.5,1.5,44.8
Dezmon Briscoe - TB,28.7,358.0,12.5,2.7,0.1,44.0
Michael Jenkins - MIN,31.5,408.3,13.0,1.7,0.1,43.0
Danario Alexander - STL,25.4,369.3,14.5,1.9,0.4,40.6
Torrey Smith - BAL,22.6,375.0,16.6,1.7,0.8,39.6
Jerricho Cotchery - PIT,29.3,387.7,13.2,1.4,0.1,39.2
Marcus Easley - BUF,24.0,343.0,14.3,2.0,0.3,38.4
