Player,Position,Score,Marginal Value
Jamaal Charles KC RB,RB,148.06,50.21
Antonio Brown Pit WR,WR,154.45,50.14
Rob Gronkowski NE TE,TE,121.19,49.35
Demaryius Thomas Den WR,WR,151.67,47.36
Eddie Lacy GB RB,RB,145.20,47.35
Andrew Luck Ind QB,QB,278.82,46.64
Dez Bryant Dal WR P,WR,149.83,45.52
Adrian Peterson Min RB P,RB,141.24,43.39
Marshawn Lynch Sea RB,RB,140.87,43.02
Calvin Johnson Det WR,WR,144.68,40.37
Jordy Nelson GB WR,WR,143.36,39.05
Aaron Rodgers GB QB,QB,270.17,37.99
Julio Jones Atl WR,WR,140.60,36.29
C.J. Anderson Den RB,RB,133.45,35.60
Odell Beckham Jr. NYG WR P,WR,137.96,33.65
Le'Veon Bell Pit RB SSPD,RB,129.61,31.76
Jeremy Hill Cin RB,RB,126.41,28.56
DeMarco Murray Phi RB P,RB,125.40,27.55
A.J. Green Cin WR,WR,131.56,27.25
Jimmy Graham Sea TE,TE,99.02,27.18
Mark Ingram NO RB,RB,124.56,26.71
Matt Forte Chi RB,RB,124.04,26.19
Peyton Manning Den QB,QB,257.29,25.11
Alshon Jeffery Chi WR Q,WR,128.72,24.41
T.Y. Hilton Ind WR P,WR,126.80,22.49
Drew Brees NO QB,QB,254.31,22.13
LeSean McCoy Buf RB Q,RB,117.56,19.71
Randall Cobb GB WR,WR,122.71,18.40
Mike Evans TB WR,WR,121.53,17.22
Greg Olsen Car TE,TE,87.16,15.32
Alfred Morris Wsh RB,RB,110.98,13.13
Tony Romo Dal QB,QB,243.29,11.11
Travis Kelce KC TE,TE,82.73,10.90
Julius Thomas Jac TE Q,TE,82.21,10.37
Lamar Miller Mia RB,RB,107.92,10.07
Eli Manning NYG QB,QB,242.17,9.99
Carlos Hyde SF RB,RB,107.71,9.86
Ben Roethlisberger Pit QB,QB,241.59,9.41
Emmanuel Sanders Den WR P,WR,113.68,9.37
Justin Forsett Bal RB,RB,106.38,8.53
Jason Witten Dal TE,TE,80.22,8.38
Russell Wilson Sea QB,QB,239.45,7.26
Martellus Bennett Chi TE,TE,78.84,7.00
Joique Bell* Det RB O,RB,103.86,6.01
DeAndre Hopkins Hou WR,WR,109.07,4.76
Frank Gore Ind RB,RB,101.92,4.07
Jonathan Stewart Car RB,RB,101.23,3.38
Jordan Matthews Phi WR,WR,107.67,3.36
Andre Ellington Ari RB,RB,100.71,2.86
Brandin Cooks NO WR,WR,106.75,2.44
Andre Johnson Ind WR,WR,106.74,2.43
Keenan Allen SD WR,WR,105.43,1.12
Zach Ertz Phi TE Q,TE,72.70,0.86
Brandon Marshall NYJ WR,WR,105.03,0.72
Matt Ryan Atl QB,QB,232.77,0.59
Jordan Cameron Mia TE,TE,72.31,0.47
Dwayne Allen Ind TE,TE,71.84,0.00
Sammy Watkins Buf WR,WR,104.31,0.00
Joseph Randle Dal RB Q,RB,97.85,0.00
Philip Rivers SD QB,QB,232.18,0.00
Ryan Tannehill Mia QB,QB,230.92,-1.27
Delanie Walker Ten TE P,TE,69.54,-2.30
Latavius Murray Oak RB,RB,95.44,-2.41
Larry Donnell NYG TE P,TE,68.87,-2.96
T.J. Yeldon Jac RB P,RB,94.22,-3.63
Julian Edelman NE WR P,WR,99.56,-4.75
Allen Robinson Jac WR,WR,98.57,-5.74
Jeremy Maclin KC WR,WR,98.18,-6.13
Matthew Stafford Det QB,QB,225.76,-6.43
Amari Cooper Oak WR,WR,97.78,-6.53
Melvin Gordon SD RB P,RB,91.10,-6.75
Tevin Coleman Atl RB P,RB,91.09,-6.76
Tyler Eifert Cin TE,TE,64.00,-7.84
Owen Daniels Den TE,TE,63.86,-7.98
Heath Miller Pit TE,TE,63.53,-8.30
Vincent Jackson TB WR,WR,95.93,-8.38
Eric Ebron Det TE,TE,62.94,-8.90
Giovani Bernard Cin RB,RB,88.84,-9.01
Kyle Rudolph Min TE,TE,62.81,-9.03
Austin Seferian-Jenkins TB TE,TE,62.74,-9.10
Arian Foster* Hou RB O,RB,88.72,-9.13
Jordan Reed Wsh TE P,TE,62.68,-9.16
Josh Hill NO TE,TE,62.08,-9.76
Jarvis Landry Mia WR,WR,94.55,-9.76
Golden Tate Det WR,WR,94.29,-10.02
DeSean Jackson Wsh WR Q,WR,94.09,-10.22
Cam Newton Car QB,QB,221.95,-10.24
Coby Fleener Ind TE,TE,60.95,-10.88
Brandon LaFell* NE WR O,WR,92.83,-11.48
Richard Rodgers GB TE,TE,60.16,-11.68
Mike Wallace Min WR,WR,92.63,-11.68
Charles Clay Buf TE,TE,59.31,-12.53
Eric Decker NYJ WR,WR,91.58,-12.73
C.J. Spiller NO RB Q,RB,85.05,-12.80
Devonta Freeman Atl RB P,RB,84.91,-12.94
Davante Adams GB WR,WR,89.99,-14.32
Antonio Gates SD TE SSPD,TE,57.46,-14.38
Cody Latimer Den WR,WR,89.26,-15.05
Vernon Davis SF TE,TE,56.74,-15.10
Charles Johnson Min WR,WR,88.94,-15.37
Rashad Jennings NYG RB,RB,81.92,-15.93
Devin Funchess Car WR P,WR,88.34,-15.97
Sam Bradford Phi QB P,QB,216.11,-16.08
Breshad Perriman Bal WR Q,WR,88.07,-16.24
LeGarrette Blount NE RB SSPD,RB,81.58,-16.27
Jay Cutler Chi QB,QB,215.68,-16.51
Michael Floyd Ari WR Q,WR,86.63,-17.68
Martavis Bryant Pit WR,WR,86.36,-17.95
Torrey Smith SF WR,WR,86.24,-18.07
Ameer Abdullah Det RB,RB,79.61,-18.24
Victor Cruz NYG WR P,WR,85.70,-18.61
Todd Gurley StL RB Q,RB,78.99,-18.86
Carson Palmer Ari QB P,QB,213.20,-18.99
Nelson Agholor Phi WR,WR,85.24,-19.07
Larry Fitzgerald Ari WR,WR,84.78,-19.53
DeVante Parker Mia WR Q,WR,84.38,-19.93
Roddy White Atl WR P,WR,84.32,-19.99
Jameis Winston TB QB,QB,211.78,-20.41
Bishop Sankey Ten RB,RB,77.44,-20.41
Jared Cook StL TE,TE,50.47,-21.37
Marques Colston NO WR,WR,82.60,-21.71
Jace Amaro NYJ TE Q,TE,50.01,-21.83
Jacob Tamme Atl TE,TE,48.95,-22.88
Kendall Wright Ten WR,WR,81.22,-23.09
Terrance Williams Dal WR,WR,81.08,-23.23
Ryan Mathews Phi RB,RB,73.57,-24.28
Shane Vereen NYG RB,RB,73.54,-24.31
Chris Ivory NYJ RB,RB,72.56,-25.29
Ladarius Green SD TE,TE,45.98,-25.85
Joe Flacco Bal QB,QB,206.23,-25.95
Malcom Floyd SD WR,WR,77.98,-26.33
Maxx Williams Bal TE,TE,45.06,-26.78
Isaiah Crowell Cle RB,RB,70.81,-27.04
Eddie Royal Chi WR,WR,75.68,-28.63
John Brown Ari WR,WR,75.61,-28.70
Duke Johnson Cle RB Q,RB,68.20,-29.65
Steve Smith Sr. Bal WR,WR,74.62,-29.69
Brandon Coleman NO WR,WR,73.96,-30.35
Pierre Garcon Wsh WR,WR,73.90,-30.41
Anquan Boldin SF WR,WR,73.51,-30.80
Andy Dalton Cin QB,QB,201.23,-30.95
Doug Martin TB RB,RB,66.80,-31.05
Teddy Bridgewater Min QB,QB,200.04,-32.14
Mychal Rivera Oak TE,TE,39.06,-32.78
Doug Baldwin Sea WR,WR,71.32,-32.99
Benjamin Watson NO TE,TE,38.39,-33.44
Charles Sims TB RB,RB,64.41,-33.44
Brian Quick StL WR P,WR,70.73,-33.58
Virgil Green Den TE,TE,37.54,-34.30
Rueben Randle NYG WR P,WR,69.74,-34.57
Rob Housler Cle TE,TE,36.62,-35.22
Montee Ball Den RB,RB,62.47,-35.38
Stevie Johnson SD WR,WR,68.48,-35.83
Michael Crabtree Oak WR,WR,68.03,-36.28
Nate Washington Hou WR,WR,67.90,-36.41
Danny Woodhead SD RB,RB,61.07,-36.78
Clive Walford Oak TE P,TE,34.37,-37.46
Kenny Britt StL WR,WR,66.11,-38.20
Kenny Stills Mia WR,WR,65.59,-38.72
Knile Davis KC RB,RB,58.95,-38.90
Gavin Escobar Dal TE P,TE,31.20,-40.64
Marcus Mariota Ten QB,QB,191.50,-40.69
Dion Sims Mia TE,TE,31.14,-40.70
Lance Kendricks StL TE,TE,30.74,-41.09
Alex Smith KC QB,QB,190.88,-41.31
Tyler Lockett Sea WR,WR,62.81,-41.50
Colin Kaepernick SF QB,QB,190.23,-41.96
Lorenzo Taliaferro Bal RB,RB,55.84,-42.01
Darren Fells Ari TE,TE,29.69,-42.15
Crockett Gillmore Bal TE,TE,29.62,-42.22
Dorial Green-Beckham Ten WR,WR,62.02,-42.29
Dennis Pitta* Bal TE O,TE,29.42,-42.41
James White NE RB,RB,54.90,-42.95
Brent Celek Phi TE,TE,28.37,-43.47
