Player,Position,Score,Value over Avg,Value over Next
Rob Gronkowski NE TE,TE,121.65,49.75,16.57
Antonio Brown Pit WR,WR,153.86,48.56,1.93
Eddie Lacy GB RB,RB,146.27,48.22,4.33
Andrew Luck Ind QB,QB,283.18,46.72,16.88
Demaryius Thomas Den WR,WR,151.93,46.64,1.71
Dez Bryant Dal WR P,WR,150.22,44.93,5.54
Jamaal Charles KC RB,RB,141.94,43.89,0.89
Adrian Peterson Min RB P,RB,141.05,43.00,6.31
Calvin Johnson Det WR,WR,144.68,39.38,4.08
Marshawn Lynch Sea RB,RB,134.73,36.69,1.70
Julio Jones Atl WR,WR,140.60,35.30,2.64
C.J. Anderson Den RB,RB,133.04,34.99,2.24
Jimmy Graham Sea TE,TE,105.08,33.18,13.78
Le'Veon Bell Pit RB SSPD,RB,130.80,32.75,3.28
Odell Beckham Jr. NYG WR P,WR,137.96,32.66,0.07
A.J. Green Cin WR,WR,137.89,32.59,9.37
Aaron Rodgers GB QB,QB,266.30,29.85,7.87
Jeremy Hill Cin RB,RB,127.51,29.47,5.52
Matt Forte Chi RB,RB,121.99,23.94,0.07
DeMarco Murray Phi RB,RB,121.92,23.87,3.89
Alshon Jeffery Chi WR Q,WR,128.52,23.23,0.59
Randall Cobb GB WR Q,WR,127.93,22.63,1.06
Drew Brees NO QB,QB,258.43,21.98,0.62
T.Y. Hilton Ind WR,WR,126.87,21.58,5.21
Peyton Manning Den QB,QB,257.81,21.36,14.55
Mark Ingram NO RB,RB,118.03,19.98,1.70
Travis Kelce KC TE,TE,91.31,19.40,4.15
LeSean McCoy Buf RB Q,RB,116.33,18.28,0.12
Carlos Hyde SF RB,RB,116.21,18.16,6.86
Mike Evans TB WR Q,WR,121.66,16.37,7.72
Greg Olsen Car TE,TE,87.16,15.25,6.80
Alfred Morris Wsh RB,RB,109.35,11.30,0.02
Justin Forsett Bal RB,RB,109.33,11.28,0.61
Lamar Miller Mia RB,RB,108.73,10.68,2.74
Emmanuel Sanders Den WR P,WR,113.94,8.65,3.36
Julius Thomas Jac TE Q,TE,80.36,8.45,0.14
Jason Witten Dal TE,TE,80.22,8.32,1.51
Frank Gore Ind RB,RB,105.99,7.94,0.25
Arian Foster* Hou RB O,RB,105.73,7.69,2.07
Tony Romo Dal QB,QB,243.27,6.81,2.39
Martellus Bennett Chi TE,TE,78.71,6.80,5.68
Todd Gurley StL RB Q,RB,103.66,5.62,4.62
Brandin Cooks NO WR,WR,110.58,5.29,2.38
Eli Manning NYG QB,QB,240.88,4.42,1.35
Ben Roethlisberger Pit QB,QB,239.53,3.08,1.88
Julian Edelman NE WR P,WR,108.20,2.90,0.65
DeAndre Hopkins Hou WR,WR,107.55,2.26,0.48
Andre Johnson Ind WR,WR,107.07,1.78,1.25
Russell Wilson Sea QB,QB,237.65,1.19,0.83
Zach Ertz Phi TE Q,TE,73.03,1.13,1.05
Joseph Randle Dal RB,RB,99.05,1.00,1.00
Jordan Matthews Phi WR,WR,105.82,0.53,0.20
Matt Ryan Atl QB,QB,236.82,0.37,0.37
Davante Adams GB WR,WR,105.62,0.33,0.06
Keenan Allen SD WR,WR,105.56,0.27,0.27
Delanie Walker Ten TE,TE,71.98,0.08,0.08
Dwayne Allen Ind TE,TE,71.90,0.00,0.72
Brandon Marshall NYJ WR,WR,105.29,0.00,3.56
Latavius Murray Oak RB,RB,98.05,0.00,1.27
Philip Rivers SD QB P,QB,236.46,0.00,3.32
Jordan Cameron Mia TE,TE,71.18,-0.72,2.31
Joique Bell* Det RB O,RB,96.78,-1.27,1.76
Giovani Bernard Cin RB,RB,95.02,-3.02,0.90
Larry Donnell NYG TE P,TE,68.87,-3.03,2.11
Ryan Tannehill Mia QB,QB,233.14,-3.32,3.40
Sammy Watkins Buf WR P,WR,101.74,-3.56,1.45
Jonathan Stewart Car RB,RB,94.12,-3.92,0.06
T.J. Yeldon Jac RB P,RB,94.06,-3.98,0.86
Melvin Gordon SD RB,RB,93.21,-4.84,0.81
Golden Tate Det WR,WR,100.29,-5.00,1.72
Owen Daniels Den TE,TE,66.76,-5.14,2.57
Andre Ellington Ari RB,RB,92.40,-5.65,1.21
Allen Robinson Jac WR,WR,98.57,-6.72,0.79
Matthew Stafford Det QB,QB,229.73,-6.72,7.42
C.J. Spiller NO RB Q,RB,91.19,-6.86,0.05
Tevin Coleman Atl RB P,RB,91.13,-6.91,6.22
Amari Cooper Oak WR,WR,97.78,-7.51,1.66
Heath Miller Pit TE,TE,64.19,-7.71,0.07
Tyler Eifert Cin TE,TE,64.13,-7.78,0.53
Antonio Gates SD TE SSPD,TE,63.59,-8.31,0.65
Eric Ebron Det TE P,TE,62.94,-8.96,0.13
Jordan Reed Wsh TE,TE,62.81,-9.10,0.26
Nelson Agholor Phi WR,WR,96.13,-9.17,0.06
Vincent Jackson TB WR,WR,96.07,-9.23,0.26
Austin Seferian-Jenkins TB TE,TE,62.54,-9.36,0.40
Jeremy Maclin KC WR,WR,95.80,-9.49,1.05
Kyle Rudolph Min TE,TE,62.15,-9.76,0.53
Richard Rodgers GB TE,TE,61.61,-10.29,0.59
DeSean Jackson Wsh WR P,WR,94.75,-10.54,1.26
Coby Fleener Ind TE P,TE,61.02,-10.88,1.97
Jarvis Landry Mia WR,WR,93.49,-11.80,0.80
Michael Floyd Ari WR Q,WR,92.69,-12.60,0.85
Charles Clay Buf TE,TE,59.05,-12.86,4.82
Devonta Freeman Atl RB P,RB,84.91,-13.13,0.97
Eric Decker NYJ WR,WR,91.84,-13.45,1.06
Chris Ivory NYJ RB,RB,83.95,-14.10,2.84
Cam Newton Car QB,QB,222.31,-14.15,0.47
Larry Fitzgerald Ari WR,WR,90.78,-14.51,1.78
Sam Bradford Phi QB P,QB,221.84,-14.62,4.29
Mike Wallace Min WR,WR,89.00,-16.29,0.67
LeGarrette Blount NE RB SSPD,RB,81.10,-16.94,0.40
Devin Funchess Car WR P,WR,88.34,-16.96,0.19
Charles Johnson Min WR,WR,88.15,-17.15,0.47
Ryan Mathews Phi RB,RB,80.70,-17.34,0.97
Breshad Perriman Bal WR Q,WR,87.68,-17.62,0.26
Benjamin Watson NO TE,TE,54.23,-17.68,0.07
Maxx Williams Bal TE Q,TE,54.16,-17.74,0.32
John Brown Ari WR,WR,87.42,-17.87,1.05
Jared Cook StL TE,TE,53.84,-18.07,0.07
Vernon Davis SF TE,TE,53.77,-18.13,3.50
Rashad Jennings NYG RB,RB,79.73,-18.32,0.80
Carson Palmer Ari QB P,QB,217.55,-18.91,2.04
Torrey Smith SF WR P,WR,86.37,-18.92,0.73
Ameer Abdullah Det RB,RB,78.93,-19.12,5.52
Victor Cruz NYG WR P,WR,85.64,-19.66,3.30
Jay Cutler Chi QB,QB,215.51,-20.95,8.45
Jace Amaro NYJ TE Q,TE,50.27,-21.63,0.13
Jacob Tamme Atl TE,TE,50.14,-21.76,3.83
Roddy White Atl WR Q,WR,82.34,-22.96,0.98
Kendall Wright Ten WR,WR,81.35,-23.94,0.20
DeVante Parker Mia WR Q,WR,81.15,-24.14,1.65
Isaiah Crowell Cle RB,RB,73.41,-24.64,0.07
Shane Vereen NYG RB,RB,73.34,-24.71,4.19
Josh Hill NO TE,TE,46.31,-25.60,0.26
