PLAYERS,,PASSING,,,,RUSHING,,,RECEIVING,,,TOTAL
RNK,PLAYER TEAM POS,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
1,Eddie Lacy GB RB,0/0,0,0,0,301,1332,9,45,318,3,232.6
2,Adrian Peterson Min RB P,0/0,0,0,0,264,1231,9,46,391,2,222.6
3,Jamaal Charles KC RB,0/0,0,0,0,243,1118,8,55,473,3,218.7
4,Marshawn Lynch Sea RB,0/0,0,0,0,281,1291,9,33,259,2,216.6
5,C.J. Anderson Den RB,0/0,0,0,0,268,1161,9,47,403,1,214.6
6,Le'Veon Bell Pit RB SSPD,0/0,0,0,0,254,1090,6,62,503,3,211.5
7,Jeremy Hill Cin RB,0/0,0,0,0,274,1259,10,22,169,1,201.6
8,LeSean McCoy Buf RB Q,0/0,0,0,0,306,1370,7,29,205,1,201.5
9,Matt Forte Chi RB,0/0,0,0,0,240,1018,5,65,595,2,200.4
10,DeMarco Murray Phi RB,0/0,0,0,0,231,1068,10,26,200,1,188.6
11,Carlos Hyde SF RB,0/0,0,0,0,266,1105,9,23,182,1,186.5
12,Lamar Miller Mia RB,0/0,0,0,0,257,1155,6,40,311,1,186.5
13,Justin Forsett Bal RB,0/0,0,0,0,222,1020,5,52,402,2,182.4
14,Alfred Morris Wsh RB,0/0,0,0,0,266,1133,8,20,152,1,180.5
15,Mark Ingram NO RB,0/0,0,0,0,227,936,10,29,221,1,179.6
16,Arian Foster* Hou RB O,0/0,0,0,0,227,1034,5,43,339,2,176.4
17,Frank Gore Ind RB,0/0,0,0,0,240,986,6,35,281,2,172.5
18,Todd Gurley StL RB Q,0/0,0,0,0,238,1088,7,23,184,1,170.4
19,Latavius Murray Oak RB,0/0,0,0,0,235,1025,6,30,228,1,164.4
20,Jonathan Stewart Car RB,0/0,0,0,0,247,1133,5,28,194,1,164.4
21,Melvin Gordon SD RB,0/0,0,0,0,260,1148,5,22,171,1,163.3
22,Joseph Randle Dal RB,0/0,0,0,0,241,1065,7,16,128,1,160.5
23,T.J. Yeldon Jac RB P,0/0,0,0,0,219,932,6,28,224,1,153.4
24,Joique Bell* Det RB O,0/0,0,0,0,211,807,7,32,250,1,149.5
25,Andre Ellington Ari RB,0/0,0,0,0,183,717,4,46,420,2,147.4
