PLAYERS,,PASSING,,,,RUSHING,,,RECEIVING,,,TOTAL
RNK,PLAYER TEAM POS,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
1,Rob Gronkowski NE TE,0/0,0,0,0,0,0,0,82,1018,9,155
2,Jimmy Graham Sea TE,0/0,0,0,0,0,0,0,65,773,8,124.1
3,Greg Olsen Car TE,0/0,0,0,0,0,0,0,71,866,5,115.3
4,Julius Thomas Jac TE Q,0/0,0,0,0,0,0,0,70,791,5,107.7
5,Travis Kelce KC TE,0/0,0,0,0,0,0,0,74,799,5,107.3
6,Martellus Bennett Chi TE,0/0,0,0,0,0,0,0,68,740,5,103.9
7,Jason Witten Dal TE,0/0,0,0,0,0,0,0,58,670,6,103
8,Jordan Cameron Mia TE,0/0,0,0,0,0,0,0,52,641,5,93.7
9,Zach Ertz Phi TE Q,0/0,0,0,0,0,0,0,52,647,5,93.5
10,Delanie Walker Ten TE P,0/0,0,0,0,0,0,0,61,690,4,91.6
11,Dwayne Allen Ind TE,0/0,0,0,0,0,0,0,50,543,6,89.5
12,Larry Donnell NYG TE P,0/0,0,0,0,0,0,0,50,589,5,86.9
13,Tyler Eifert Cin TE,0/0,0,0,0,0,0,0,52,606,4,83.5
14,Eric Ebron Det TE,0/0,0,0,0,0,0,0,53,590,4,82.5
15,Heath Miller Pit TE,0/0,0,0,0,0,0,0,53,599,4,81.9
16,Kyle Rudolph Min TE,0/0,0,0,0,0,0,0,53,588,4,81.9
17,Austin Seferian-Jenkins TB TE,0/0,0,0,0,0,0,0,48,587,4,81.5
18,Jordan Reed Wsh TE P,0/0,0,0,0,0,0,0,56,586,4,81.2
19,Owen Daniels Den TE,0/0,0,0,0,0,0,0,46,513,5,80.9
20,Josh Hill NO TE,0/0,0,0,0,0,0,0,45,486,5,77.6
21,Charles Clay Buf TE,0/0,0,0,0,0,0,0,49,535,4,76.9
22,Coby Fleener Ind TE,0/0,0,0,0,0,0,0,39,469,5,76
23,Vernon Davis SF TE,0/0,0,0,0,0,0,0,45,587,3,75.4
24,Richard Rodgers GB TE,0/0,0,0,0,0,0,0,40,457,5,74.7
25,Antonio Gates SD TE SSPD,0/0,0,0,0,0,0,0,42,507,4,73.7
26,Jared Cook StL TE,0/0,0,0,0,0,0,0,42,492,3,66.8
27,Jace Amaro NYJ TE Q,0/0,0,0,0,0,0,0,44,485,3,65.6
28,Jacob Tamme Atl TE,0/0,0,0,0,0,0,0,43,469,3,63.7
29,Ladarius Green SD TE,0/0,0,0,0,0,0,0,34,424,3,59.8
30,Maxx Williams Bal TE,0/0,0,0,0,0,0,0,35,410,3,58.7
31,David Johnson SD TE,0/0,0,0,0,59,239,2,23,189,1,57.2
32,Mychal Rivera Oak TE,0/0,0,0,0,0,0,0,36,410,2,52.2
33,Rob Housler Cle TE,0/0,0,0,0,0,0,0,32,373,2,48.5
34,Benjamin Watson NO TE,0/0,0,0,0,0,0,0,27,309,3,47.8
35,Virgil Green Den TE,0/0,0,0,0,0,0,0,32,296,3,46.7
36,Clive Walford Oak TE P,0/0,0,0,0,0,0,0,29,339,2,44.7
37,Dion Sims Mia TE,0/0,0,0,0,0,0,0,27,290,2,40.7
38,Lance Kendricks StL TE,0/0,0,0,0,0,0,0,26,284,2,39.8
39,Dennis Pitta* Bal TE O,0/0,0,0,0,0,0,0,23,264,2,37.9
40,Gavin Escobar Dal TE P,0/0,0,0,0,0,0,0,16,200,3,37.9
41,Crockett Gillmore Bal TE,0/0,0,0,0,0,0,0,23,267,2,37.8
42,Darren Fells Ari TE,0/0,0,0,0,0,0,0,24,268,2,37.8
43,Brent Celek Phi TE,0/0,0,0,0,0,0,0,22,248,2,35.8
44,Marcedes Lewis Jac TE,0/0,0,0,0,0,0,0,19,221,2,33.8
45,Troy Niklas Ari TE,0/0,0,0,0,0,0,0,20,210,2,32.8
46,Scott Chandler NE TE P,0/0,0,0,0,0,0,0,18,196,2,30.9
47,Andrew Quarless GB TE,0/0,0,0,0,0,0,0,14,153,2,26.9
48,Garrett Graham Hou TE,0/0,0,0,0,0,0,0,20,217,1,26.7
49,Tim Wright TB TE,0/0,0,0,0,0,0,0,14,178,1,22.9
50,Ed Dickson Car TE,0/0,0,0,0,0,0,0,15,179,1,22.9
51,Daniel Fells NYG TE,0/0,0,0,0,0,0,0,15,170,1,22.7
52,Jermaine Gresham Ari TE P,0/0,0,0,0,0,0,0,16,166,1,21.6
53,Tyler Kroft Cin TE,0/0,0,0,0,0,0,0,14,156,1,20.9
54,C.J. Fiedorowicz Hou TE,0/0,0,0,0,0,0,0,14,155,1,20.9
55,Jack Doyle Ind TE,0/0,0,0,0,0,0,0,12,132,1,18.9
56,Levine Toilolo Atl TE,0/0,0,0,0,0,0,0,12,133,1,18.9
57,MyCole Pruitt Min TE P,0/0,0,0,0,0,0,0,12,139,1,18.9
58,Brandon Myers TB TE,0/0,0,0,0,0,0,0,11,122,1,18
59,Luke Willson Sea TE,0/0,0,0,0,0,0,0,11,125,1,18
60,James O'Shaughnessy KC TE,0/0,0,0,0,0,0,0,10,120,1,17.9
61,Joseph Fauria Det TE P,0/0,0,0,0,0,0,0,11,123,1,17.9
62,Jeff Cumberland NYJ TE,0/0,0,0,0,0,0,0,10,119,1,16.9
63,James Casey Den TE,0/0,0,0,0,0,0,0,13,115,1,16.9
64,Ryan Griffin Hou TE,0/0,0,0,0,0,0,0,10,113,1,16.9
65,Gary Barnidge Cle TE,0/0,0,0,0,0,0,0,9,100,1,15.9
66,Jim Dray Cle TE,0/0,0,0,0,0,0,0,9,100,1,15.9
67,MarQueis Gray Buf TE,0/0,0,0,0,0,0,0,9,97,1,14.9
68,Dante Rosario Chi TE,0/0,0,0,0,0,0,0,8,86,1,13.9
69,Anthony Fasano Ten TE,0/0,0,0,0,0,0,0,7,75,1,12.9
70,Craig Stevens Ten TE,0/0,0,0,0,0,0,0,7,75,1,12.9
71,Logan Paulsen* Wsh TE IR,0/0,0,0,0,0,0,0,7,75,1,12.9
72,Lee Smith Oak TE,0/0,0,0,0,0,0,0,7,81,0,7.9
73,Blake Bell SF TE,0/0,0,0,0,0,0,0,6,71,0,6.9
74,Vance McDonald SF TE,0/0,0,0,0,0,0,0,6,73,0,6.9
75,Cory Harkey StL TE,0/0,0,0,0,0,0,0,8,65,0,6
76,Brandon Pettigrew Det TE,0/0,0,0,0,0,0,0,5,61,0,5.9
77,Chris Gragg Buf TE,0/0,0,0,0,0,0,0,4,50,0,5
78,Ryan Hewitt Cin TE,0/0,0,0,0,0,0,0,6,47,0,4
79,Michael Hoomanawanui NE TE,0/0,0,0,0,0,0,0,4,45,0,4
80,Tony Moeaki Atl TE,0/0,0,0,0,0,0,0,4,44,0,4
81,Luke Stocker TB TE,0/0,0,0,0,0,0,0,3,40,0,4
82,Zach Sudfeld* NYJ TE IR,0/0,0,0,0,0,0,0,4,40,0,4
83,Gerald Christian Ari TE,0/0,0,0,0,0,0,0,4,45,0,4
84,Matt Spaeth Pit TE,0/0,0,0,0,0,0,0,4,47,0,4
85,Jeff Heuerman* Den TE O,0/0,0,0,0,0,0,0,4,44,0,4
86,Jesse James Pit TE,0/0,0,0,0,0,0,0,4,46,0,4
87,John Phillips SD TE,0/0,0,0,0,0,0,0,4,42,0,4
88,Malcolm Johnson Cle TE Q,0/0,0,0,0,0,0,0,3,30,0,3
89,James Hanna Dal TE Q,0/0,0,0,0,0,0,0,3,39,0,3
90,Rhett Ellison Min TE,0/0,0,0,0,0,0,0,3,39,0,3
91,Kellen Davis NYJ TE,0/0,0,0,0,0,0,0,3,39,0,3
92,Clay Harbor Jac TE,0/0,0,0,0,0,0,0,3,39,0,2.9
93,Kennard Backman GB TE,0/0,0,0,0,0,0,0,2,21,0,2
94,Adrien Robinson NYG TE,0/0,0,0,0,0,0,0,2,22,0,2
95,Trey Burton Phi TE,0/0,0,0,0,0,0,0,2,20,0,2
96,Bear Pascoe Chi TE,0/0,0,0,0,0,0,0,2,21,0,2
97,Richard Gordon KC TE,0/0,0,0,0,0,0,0,2,20,0,2
98,Chase Ford Min TE,0/0,0,0,0,0,0,0,2,20,0,2
99,Arthur Lynch NYJ TE,0/0,0,0,0,0,0,0,2,22,0,2
