Player,Position,Score,Marginal Value
Antonio Brown Pit WR,WR,322.20,132.50
Jamaal Charles KC RB,RB,286.40,129.20
Eddie Lacy GB RB,RB,280.00,122.80
Adrian Peterson Min RB P,RB,275.50,118.30
Matt Forte Chi RB,RB,273.30,116.10
Le'Veon Bell Pit RB SSPD,RB,272.40,115.20
Demaryius Thomas Den WR,WR,297.80,108.10
C.J. Anderson Den RB,RB,264.50,107.30
Julio Jones Atl WR,WR,293.30,103.60
Marshawn Lynch Sea RB,RB,260.40,103.20
Rob Gronkowski NE TE,TE,237.80,98.90
Odell Beckham Jr. NYG WR P,WR,286.30,96.60
Dez Bryant Dal WR P,WR,286.10,96.40
Calvin Johnson Det WR,WR,275.30,85.60
Jordy Nelson GB WR,WR,270.30,80.60
LeSean McCoy Buf RB Q,RB,237.50,80.30
A.J. Green Cin WR,WR,264.60,74.90
Justin Forsett Bal RB,RB,228.60,71.40
Jeremy Hill Cin RB,RB,228.10,70.90
DeMarco Murray Phi RB P,RB,226.70,69.50
Lamar Miller Mia RB,RB,226.20,69.00
Alshon Jeffery Chi WR Q,WR,258.30,68.60
T.Y. Hilton Ind WR P,WR,253.40,63.70
Aaron Rodgers GB QB,QB,334.28,62.86
Mark Ingram NO RB,RB,218.10,60.90
Andrew Luck Ind QB,QB,330.16,58.74
Randall Cobb GB WR,WR,247.20,57.50
Mike Evans TB WR,WR,243.50,53.80
Jimmy Graham Sea TE,TE,190.30,51.40
Andre Ellington Ari RB,RB,208.30,51.10
Frank Gore Ind RB,RB,207.60,50.40
Greg Olsen Car TE,TE,187.60,48.70
Alfred Morris Wsh RB,RB,205.90,48.70
Jonathan Stewart Car RB,RB,205.20,48.00
Travis Kelce KC TE,TE,183.90,45.00
DeAndre Hopkins Hou WR,WR,233.80,44.10
C.J. Spiller NO RB Q,RB,198.30,41.10
Julius Thomas Jac TE Q,TE,179.10,40.20
Carlos Hyde SF RB,RB,197.40,40.20
Giovani Bernard Cin RB,RB,197.20,40.00
Russell Wilson Sea QB,QB,310.74,39.32
Emmanuel Sanders Den WR P,WR,228.60,38.90
Joique Bell* Det RB O,RB,194.40,37.20
Martellus Bennett Chi TE,TE,172.00,33.10
Drew Brees NO QB,QB,304.40,32.98
Jordan Matthews Phi WR,WR,222.50,32.80
Julian Edelman NE WR P,WR,222.30,32.60
Brandin Cooks NO WR,WR,222.20,32.50
Jarvis Landry Mia WR,WR,220.80,31.10
Latavius Murray Oak RB,RB,187.80,30.60
Keenan Allen SD WR,WR,219.20,29.50
Arian Foster* Hou RB O,RB,186.20,29.00
T.J. Yeldon Jac RB P,RB,186.00,28.80
Melvin Gordon SD RB P,RB,184.10,26.90
Peyton Manning Den QB,QB,298.24,26.82
Golden Tate Det WR,WR,216.50,26.80
Sammy Watkins Buf WR,WR,213.50,23.80
Brandon Marshall NYJ WR,WR,213.50,23.80
Jeremy Maclin KC WR,WR,213.30,23.60
Allen Robinson Jac WR,WR,212.90,23.20
Joseph Randle Dal RB Q,RB,179.50,22.30
Jason Witten Dal TE,TE,161.00,22.10
Amari Cooper Oak WR,WR,209.70,20.00
Ameer Abdullah Det RB,RB,176.90,19.70
Ben Roethlisberger Pit QB,QB,290.98,19.56
Andre Johnson Ind WR,WR,208.00,18.30
Devonta Freeman Atl RB P,RB,174.00,16.80
Tony Romo Dal QB,QB,287.02,15.60
Delanie Walker Ten TE P,TE,154.00,15.10
Ryan Tannehill Mia QB,QB,283.30,11.88
Eli Manning NYG QB,QB,282.58,11.16
Matt Ryan Atl QB,QB,281.20,9.78
DeSean Jackson Wsh WR Q,WR,199.20,9.50
Tevin Coleman Atl RB P,RB,166.10,8.90
Cam Newton Car QB,QB,279.64,8.22
Zach Ertz Phi TE Q,TE,146.70,7.80
Jordan Cameron Mia TE,TE,146.10,7.20
Eric Decker NYJ WR,WR,194.30,4.60
Vincent Jackson TB WR,WR,193.90,4.20
Dwayne Allen Ind TE,TE,140.30,1.40
Larry Donnell NYG TE P,TE,138.90,0.00
Kendall Wright Ten WR,WR,189.70,0.00
Shane Vereen NYG RB,RB,157.20,0.00
Matthew Stafford Det QB,QB,271.42,0.00
Philip Rivers SD QB,QB,271.28,-0.14
Jordan Reed Wsh TE P,TE,138.60,-0.30
Brandon LaFell* NE WR O,WR,188.10,-1.60
Mike Wallace Min WR,WR,187.90,-1.80
Heath Miller Pit TE,TE,136.90,-2.00
Tyler Eifert Cin TE,TE,136.60,-2.30
Duke Johnson Cle RB Q,RB,154.30,-2.90
Eric Ebron Det TE,TE,136.00,-2.90
Kyle Rudolph Min TE,TE,135.80,-3.10
Todd Gurley StL RB Q,RB,152.60,-4.60
Rashad Jennings NYG RB,RB,152.50,-4.70
Bishop Sankey Ten RB,RB,150.80,-6.40
Austin Seferian-Jenkins TB TE,TE,130.70,-8.20
Charles Johnson Min WR,WR,180.30,-9.40
Colin Kaepernick SF QB,QB,261.16,-10.26
Larry Fitzgerald Ari WR,WR,179.00,-10.70
Ryan Mathews Phi RB,RB,146.00,-11.20
Charles Sims TB RB,RB,145.90,-11.30
Devin Funchess Car WR P,WR,178.30,-11.40
Owen Daniels Den TE,TE,127.30,-11.60
Chris Ivory NYJ RB,RB,145.20,-12.00
Cody Latimer Den WR,WR,177.70,-12.00
Victor Cruz NYG WR P,WR,177.40,-12.30
Roddy White Atl WR P,WR,177.30,-12.40
