Player,Position,Score,Value over Avg,Value over Next
Antonio Brown Pit WR,WR,237.79,99.07,17.78
Todd Gurley LA RB,RB,231.64,85.41,4.66
Julio Jones Atl WR P,WR,220.01,81.29,12.77
Adrian Peterson Min RB,RB,226.98,80.75,5.29
David Johnson Ari RB,RB,221.69,75.46,6.70
Rob Gronkowski NE TE,TE,170.51,72.53,25.86
Jamaal Charles KC RB P,RB,214.99,68.76,4.53
Odell Beckham Jr. NYG WR,WR,207.24,68.52,12.29
Cam Newton Car QB,QB,352.69,65.47,29.00
LeSean McCoy Buf RB,RB,210.46,64.23,3.43
Lamar Miller Hou RB,RB,207.03,60.80,0.30
Ezekiel Elliott Dal RB,RB,206.73,60.50,5.20
DeAndre Hopkins Hou WR,WR,194.95,56.23,12.37
Devonta Freeman Atl RB,RB,201.53,55.30,2.77
Mark Ingram NO RB,RB,198.76,52.53,3.37
Le'Veon Bell Pit RB SSPD,RB,195.39,49.16,5.40
Jordan Reed Wsh TE P,TE,144.65,46.67,10.01
A.J. Green Cin WR,WR,182.58,43.86,1.35
Doug Martin TB RB,RB,189.99,43.76,15.26
Allen Robinson Jax WR,WR,181.23,42.51,1.55
Brandon Marshall NYJ WR,WR,179.68,40.96,4.73
Greg Olsen Car TE P,TE,134.64,36.66,13.32
Russell Wilson Sea QB,QB,323.70,36.48,0.35
Alshon Jeffery Chi WR,WR,174.95,36.23,3.19
Aaron Rodgers GB QB P,QB,323.35,36.13,4.60
Jordy Nelson GB WR Q,WR,171.76,33.04,0.77
Dez Bryant Dal WR Q,WR,170.99,32.27,6.61
Andrew Luck Ind QB,QB,318.75,31.53,8.83
Carlos Hyde SF RB Q,RB,174.73,28.50,3.00
Eric Decker NYJ WR P,WR,164.38,25.66,0.35
C.J. Anderson Den RB,RB,171.73,25.50,3.33
Mike Evans TB WR,WR,164.03,25.31,1.92
Sammy Watkins Buf WR,WR,162.11,23.39,2.24
Delanie Walker Ten TE,TE,121.32,23.34,0.67
Drew Brees NO QB,QB,309.92,22.70,3.23
Coby Fleener NO TE,TE,120.65,22.67,2.49
Eddie Lacy GB RB,RB,168.40,22.17,2.90
T.Y. Hilton Ind WR P,WR,159.87,21.15,2.04
Travis Kelce KC TE,TE,118.16,20.18,0.76
Kirk Cousins Wsh QB,QB,306.69,19.47,8.79
Zach Ertz Phi TE,TE,117.40,19.42,0.47
DeMarco Murray Ten RB,RB,165.50,19.27,1.77
Keenan Allen SD WR,WR,157.83,19.11,8.28
Gary Barnidge Cle TE,TE,116.93,18.95,10.48
Latavius Murray Oak RB,RB,163.73,17.50,3.46
Jonathan Stewart Car RB,RB,160.27,14.04,0.28
Jeremy Langford Chi RB,RB,159.99,13.76,0.87
Frank Gore Ind RB,RB,159.12,12.89,3.56
Amari Cooper Oak WR,WR,149.55,10.83,2.26
Matthew Stafford Det QB,QB,297.90,10.68,1.94
Thomas Rawls Sea RB P,RB,155.56,9.33,1.77
Eli Manning NYG QB,QB,295.96,8.74,2.46
Jeremy Maclin KC WR,WR,147.29,8.57,0.32
Jason Witten Dal TE,TE,106.45,8.47,1.17
Demaryius Thomas Den WR,WR,146.97,8.25,0.58
Brandin Cooks NO WR,WR,146.39,7.67,3.30
Jeremy Hill Cin RB,RB,153.79,7.56,1.73
Antonio Gates SD TE,TE,105.28,7.30,0.40
Julius Thomas Jax TE,TE,104.88,6.90,6.90
Ben Roethlisberger Pit QB,QB,293.50,6.28,6.28
Matt Forte NYJ RB P,RB,152.06,5.83,1.10
Ryan Mathews Phi RB,RB,150.96,4.73,4.73
Donte Moncrief Ind WR,WR,143.09,4.37,0.01
Doug Baldwin Sea WR,WR,143.08,4.36,3.48
Julian Edelman NE WR,WR,139.60,0.88,0.77
Larry Fitzgerald Ari WR Q,WR,138.83,0.11,0.11
Jimmy Graham Sea TE Q,TE,97.98,0.00,0.36
Jarvis Landry Mia WR,WR,138.72,0.00,1.06
Matt Jones Wsh RB Q,RB,146.23,0.00,0.62
Tyrod Taylor Buf QB,QB,287.22,0.00,0.40
