PLAYERS,,PASSING,,,,RUSHING,,,RECEIVING,,,TOTAL
RNK,PLAYER TEAM POS,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
1,Antonio Brown Pit WR,0/0,0,0,0,3.9,25.1,0.1,132.9,1765.7,10,243.6
2,Odell Beckham Jr. NYG WR,0/0,0,0,0,0,0,0,100.7,1508.3,9.3,205
3,Julio Jones Atl WR,0/0,0,0,0,0,0,0,126.9,1762.9,7.3,218
4,DeAndre Hopkins Hou WR,0/0,0,0,0,0,0,0,100.9,1439.4,8.5,193.6
5,Dez Bryant Dal WR Q,0/0,0,0,0,0,0,0,86,1231.3,9.8,181.3
6,A.J. Green Cin WR,0/0,0,0,0,0,0,0,87.9,1290.5,8.8,181.4
7,Allen Robinson Jax WR,0/0,0,0,0,0,0,0,82.9,1314.3,8.3,180.4
8,Jordy Nelson GB WR Q,0/0,0,0,0,0,0,0,80,1216.6,8.3,170.6
9,Brandon Marshall NYJ WR,0/0,0,0,0,0,0,0,96.9,1280,8.6,178.2
10,Alshon Jeffery Chi WR,0/0,0,0,0,0,0,0,88.7,1281.7,7.9,174.7
11,Mike Evans TB WR,0/0,0,0,0,0,0,0,77.5,1163.5,7.9,163.2
12,Sammy Watkins Buf WR,0/0,0,0,0,2.3,14.2,0.1,73.1,1163.3,7.6,163.6
13,Brandin Cooks NO WR,0/0,0,0,0,7.8,48.4,0.3,88.4,1066.5,6.6,151.3
14,Amari Cooper Oak WR,0/0,0,0,0,3.7,23.6,0.1,81.3,1069,7.1,151.3
15,Demaryius Thomas Den WR,0/0,0,0,0,0,0,0,86.1,1117.3,6.4,148.5
16,Keenan Allen SD WR,0/0,0,0,0,0,0,0,105.9,1199.9,6.3,157.1
17,T.Y. Hilton Ind WR P,0/0,0,0,0,1.8,11.5,0,74.5,1184.4,6.9,160.1
18,Julian Edelman NE WR,0/0,0,0,0,7.8,48.5,0.2,91.7,985.9,6.8,144
19,Doug Baldwin Sea WR,0/0,0,0,0,0,0,0,75.2,994.5,7.1,141.9
20,Jarvis Landry Mia WR,0/0,0,0,0,14.2,59.5,0.4,105.9,1048,5.5,145.2
21,Jeremy Maclin KC WR,0/0,0,0,0,3.8,24,0.2,86.6,1160.5,5.2,149.3
22,Randall Cobb GB WR,0/0,0,0,0,16.1,73.7,0.4,78.7,942.4,6.9,145.2
23,Eric Decker NYJ WR P,0/0,0,0,0,0,0,0,86.5,1145.1,8.3,164
24,Golden Tate Det WR P,0/0,0,0,0,7.1,45.2,0.2,87.7,1030.6,5.1,139
25,Kelvin Benjamin Car WR,0/0,0,0,0,0,0,0,64.2,863.6,8.1,134.5
26,Donte Moncrief Ind WR,0/0,0,0,0,0,0,0,77.2,962.7,7.8,142.2
27,Emmanuel Sanders Den WR,0/0,0,0,0,4.2,26.9,0.1,76.8,1068,4.3,135.4
28,Michael Floyd Ari WR,0/0,0,0,0,0,0,0,61,959.5,6.7,135.5
29,DeVante Parker Mia WR,0/0,0,0,0,0,0,0,67.4,979.9,5.7,131.1
30,Larry Fitzgerald Ari WR Q,0/0,0,0,0,0,0,0,84.4,967.4,6.9,137
31,John Brown Ari WR P,0/0,0,0,0,4.2,25.9,0.1,64.9,977.9,6,135.6
32,Jordan Matthews Phi WR Q,0/0,0,0,0,0,0,0,84.4,1016.6,6,135.9
