Player,Position,Score,Value over Avg,Value over Next
Antonio Brown Pit WR,WR,369.47,169.88,22.48
Julio Jones Atl WR,WR,346.99,147.40,39.66
Odell Beckham Jr. NYG WR,WR,307.33,107.74,11.49
David Johnson Ari RB,RB,279.94,104.01,9.29
DeAndre Hopkins Hou WR,WR,295.84,96.25,19.34
Devonta Freeman Atl RB,RB,270.65,94.72,0.54
Todd Gurley LA RB,RB,270.11,94.18,2.18
Ezekiel Elliott Dal RB P,RB,267.93,92.00,5.04
LeSean McCoy Buf RB,RB,262.89,86.96,1.11
Rob Gronkowski NE TE P,TE,248.17,85.96,13.13
Jamaal Charles KC RB P,RB,261.78,85.85,5.99
Adrian Peterson Min RB,RB,255.79,79.86,0.68
Mark Ingram NO RB,RB,255.11,79.18,3.94
Brandon Marshall NYJ WR,WR,276.50,76.91,6.75
Le'Veon Bell Pit RB SSPD,RB,251.17,75.24,0.44
Lamar Miller Hou RB,RB,250.73,74.80,29.00
Jordan Reed Wsh TE P,TE,235.04,72.83,24.86
A.J. Green Cin WR,WR,269.75,70.16,1.82
Cam Newton Car QB,QB,339.35,70.11,24.75
Dez Bryant Dal WR Q,WR,267.93,68.34,3.66
Alshon Jeffery Chi WR,WR,264.27,64.68,0.14
Allen Robinson Jax WR,WR,264.13,64.54,0.44
Keenan Allen SD WR,WR,263.69,64.10,12.23
Jordy Nelson GB WR Q,WR,251.46,51.87,0.65
Eric Decker NYJ WR P,WR,250.81,51.22,7.11
Greg Olsen Car TE P,TE,210.18,47.97,8.01
Doug Martin TB RB P,RB,221.73,45.80,7.55
Aaron Rodgers GB QB P,QB,314.60,45.36,0.27
Russell Wilson Sea QB,QB,314.33,45.09,14.63
Jarvis Landry Mia WR,WR,243.70,44.11,2.45
Mike Evans TB WR,WR,241.25,41.66,5.02
Coby Fleener NO TE,TE,202.17,39.96,3.24
C.J. Anderson Den RB,RB,214.18,38.25,5.53
Travis Kelce KC TE,TE,198.93,36.72,8.04
Demaryius Thomas Den WR,WR,236.23,36.64,1.20
Sammy Watkins Buf WR,WR,235.03,35.44,0.38
Brandin Cooks NO WR,WR,234.65,35.06,0.31
T.Y. Hilton Ind WR P,WR,234.34,34.75,0.49
Jeremy Maclin KC WR,WR,233.85,34.26,2.76
Carlos Hyde SF RB,RB,208.65,32.72,2.57
Julian Edelman NE WR,WR,231.09,31.50,0.29
Amari Cooper Oak WR,WR,230.80,31.21,8.26
Andrew Luck Ind QB,QB,299.71,30.47,5.09
Danny Woodhead SD RB,RB,206.08,30.15,3.65
Delanie Walker Ten TE,TE,190.89,28.68,1.28
Zach Ertz Phi TE,TE,189.61,27.40,0.56
Jason Witten Dal TE,TE,189.05,26.84,10.64
Eddie Lacy GB RB,RB,202.43,26.50,2.39
Drew Brees NO QB,QB,294.61,25.37,1.44
Matt Forte NYJ RB P,RB,200.04,24.11,2.93
Kirk Cousins Wsh QB,QB,293.17,23.93,9.53
Larry Fitzgerald Ari WR Q,WR,222.54,22.95,0.48
Jordan Matthews Phi WR Q,WR,222.06,22.47,0.70
Golden Tate Det WR P,WR,221.36,21.77,1.09
Latavius Murray Oak RB,RB,197.11,21.18,5.39
Donte Moncrief Ind WR,WR,220.27,20.68,3.02
Doug Baldwin Sea WR,WR,217.25,17.66,2.91
Gary Barnidge Cle TE P,TE,178.41,16.20,10.83
Frank Gore Ind RB,RB,191.72,15.79,0.93
DeMarco Murray Ten RB,RB,190.79,14.86,3.56
Randall Cobb GB WR,WR,214.34,14.75,4.38
Matthew Stafford Det QB,QB,283.64,14.40,3.33
Giovani Bernard Cin RB,RB,187.23,11.30,1.21
Ben Roethlisberger Pit QB,QB,280.30,11.06,0.65
Eli Manning NYG QB,QB,279.65,10.41,3.93
Marvin Jones Det WR,WR,209.96,10.37,0.56
Duke Johnson Jr. Cle RB P,RB,186.02,10.09,3.13
Emmanuel Sanders Den WR,WR,209.40,9.81,9.81
Theo Riddick Det RB,RB,182.89,6.96,0.87
Tyrod Taylor Buf QB,QB,275.72,6.48,4.57
Ameer Abdullah Det RB P,RB,182.02,6.09,1.49
Julius Thomas Jax TE,TE,167.58,5.37,1.43
Jeremy Langford Chi RB,RB,180.53,4.60,0.77
Antonio Gates SD TE,TE,166.15,3.94,3.94
Jonathan Stewart Car RB,RB,179.76,3.83,2.15
Philip Rivers SD QB,QB,271.16,1.92,1.92
Rashad Jennings NYG RB,RB,177.61,1.68,0.70
Arian Foster Mia RB,RB,176.91,0.98,0.56
Melvin Gordon SD RB,RB,176.35,0.42,0.09
Ryan Mathews Phi RB,RB,176.26,0.33,0.33
Zach Miller Chi TE P,TE,162.21,0.00,3.74
DeVante Parker Mia WR,WR,199.59,0.00,0.43
Thomas Rawls Sea RB P,RB,175.93,0.00,4.29
Carson Palmer Ari QB,QB,269.24,0.00,0.98
Kelvin Benjamin Car WR,WR,199.16,-0.43,0.47
John Brown Ari WR P,WR,198.69,-0.90,1.44
Blake Bortles Jax QB,QB,268.26,-0.98,3.85
Michael Crabtree Oak WR,WR,197.25,-2.34,0.10
Michael Floyd Ari WR,WR,197.15,-2.44,10.75
Martellus Bennett NE TE,TE,158.47,-3.74,0.74
Jeremy Hill Cin RB,RB,171.64,-4.29,1.44
Tyler Eifert* Cin TE O,TE,157.73,-4.48,7.36
Andy Dalton Cin QB,QB,264.40,-4.84,0.96
Charles Sims TB RB,RB,170.20,-5.73,2.17
Ryan Fitzpatrick NYJ QB,QB,263.44,-5.80,0.14
Alex Smith KC QB,QB,263.30,-5.94,1.35
Jameis Winston TB QB,QB,261.95,-7.29,0.60
Tony Romo Dal QB,QB,261.34,-7.90,0.27
Matt Jones Wsh RB Q,RB,168.03,-7.90,9.68
Derek Carr Oak QB,QB,261.07,-8.17,1.08
Ryan Tannehill Mia QB,QB,259.99,-9.25,9.41
Eric Ebron Det TE Q,TE,150.37,-11.84,4.25
DeSean Jackson Wsh WR,WR,186.40,-13.19,3.80
Jimmy Graham Sea TE Q,TE,146.12,-16.09,0.80
Charles Clay Buf TE,TE,145.32,-16.89,4.58
Sterling Shepard NYG WR,WR,182.60,-16.99,1.01
T.J. Yeldon Jax RB,RB,158.35,-17.58,5.70
Willie Snead NO WR,WR,181.59,-18.00,0.42
Kevin White Chi WR,WR,181.17,-18.42,0.26
Brock Osweiler Hou QB,QB,250.58,-18.66,0.50
Torrey Smith SF WR,WR,180.91,-18.68,0.88
Matt Ryan Atl QB,QB,250.08,-19.16,0.42
Tyler Lockett Sea WR,WR,180.03,-19.56,6.87
Joe Flacco Bal QB P,QB,249.66,-19.58,11.57
Clive Walford Oak TE P,TE,140.74,-21.47,3.81
Bilal Powell NYJ RB,RB,152.65,-23.28,4.42
Dwayne Allen Ind TE,TE,136.93,-25.28,9.26
